Category (Col. 1),States/ UTs (Col. 2),No. of Police Personnel having Natural Death While in Service (Col. 3) - 18-25 Years,No. of Police Personnel having Natural Death While in Service (Col. 4) - 25-35 Years,No. of Police Personnel having Natural Death While in Service (Col. 5) - 35-45 Years,No. of Police Personnel having Natural Death While in Service (Col. 6) - 45-55 Years,No. of Police Personnel having Natural Death While in Service (Col. 7) - Above 55 Years,No. of Police Personnel having Natural Death While in Service (Col. 8) - Total = Col. (3 to 7),No. of Police Personnel Committed Suicide While in Service (Col. 9) - 18-25 Years,No. of Police Personnel Committed Suicide While in Service (Col. 10) - 25-35 Years,No. of Police Personnel Committed Suicide While in Service (Col. 11) - 35-45 Years,No. of Police Personnel Committed Suicide While in Service (Col. 12) - 45-55 Years,No. of Police Personnel Committed Suicide While in Service (Col. 13) - Above 55 Years,No. of Police Personnel Committed Suicide While in Service (Col. 14) - Total = Col. (9 to 13)
State,Andhra Pradesh,4,24,72,82,22,204,2,1,4,1,0,8
State,Arunachal Pradesh,0,0,1,0,0,1,0,0,1,0,0,1
State,Assam,0,0,5,7,4,16,0,0,0,0,0,0
State,Bihar,1,6,18,45,21,91,0,0,0,0,0,0
State,Chhattisgarh,2,5,17,20,3,47,2,0,2,0,0,4
State,Goa,1,3,5,3,0,12,0,1,0,0,0,1
State,Gujarat,1,8,48,93,7,157,0,2,4,3,0,9
State,Haryana,0,11,21,40,5,77,1,5,4,7,0,17
State,Himachal Pradesh,0,0,2,3,1,6,0,0,1,0,0,1
State,Jammu & Kashmir,2,7,13,9,7,38,0,0,0,0,0,0
State,Jharkhand,0,8,9,15,9,41,0,1,0,0,0,1
State,Karnataka,2,14,26,67,52,161,0,2,0,2,1,5
State,Kerala,0,6,24,54,0,84,0,1,4,5,0,10
State,Madhya Pradesh,4,6,38,48,12,108,1,4,7,15,4,31
State,Maharashtra,3,19,88,190,19,319,1,3,10,9,0,23
State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
State,Meghalaya,0,1,2,3,0,6,0,1,0,0,0,1
State,Mizoram,0,0,1,1,0,2,0,0,0,0,0,0
State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
State,Orissa,0,6,10,18,7,41,0,1,0,1,0,2
State,Punjab,0,33,89,65,6,193,0,0,2,0,0,2
State,Rajasthan,3,10,32,39,16,100,1,2,1,0,0,4
State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
State,Tamil Nadu,0,15,54,115,35,219,0,7,3,6,1,17
State,Tripura,2,2,9,8,3,24,0,0,0,2,0,2
State,Uttar Pradesh,1,16,84,177,98,376,0,1,0,1,1,3
State,Uttarakhand,2,4,3,14,1,24,0,1,0,1,0,2
State,West Bengal,0,3,8,49,28,88,1,1,0,7,0,9
State,Total (States),28,207,679,1165,356,2435,9,34,43,60,7,153
Union Territory,A & N Islands,0,2,3,8,0,13,0,1,0,0,1,2
Union Territory,Chandigarh,1,0,8,11,0,20,0,0,0,0,0,0
Union Territory,D & N Haveli,0,0,0,1,0,1,0,0,0,0,0,0
Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Delhi,6,11,53,77,31,178,0,1,3,3,0,7
Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Puducherry,0,0,0,6,3,9,0,0,0,0,0,0
Union Territory,Total (UTs),7,13,64,103,34,221,0,2,3,3,1,9
Total (All-India),Total (All-India),35,220,743,1268,390,2656,9,36,46,63,8,162
