"Date","Code","CommodityId","CommodityName","DistrictName","DistrictCode","Stock","CommodityStock","TotalStock"
"1970-01-01T05:30:00Z","State","Andhra Pradesh","NA","NA","NA","NA","2","2"
"1970-01-01T05:30:00Z","State","Assam","NA","NA","NA","NA","1","1"
"1970-01-01T05:30:00Z","State","Bihar","1","NA","11","2","NA","14"
"1970-01-01T05:30:00Z","State","Gujarat","NA","NA","1","NA","NA","1"
"1970-01-01T05:30:00Z","State","Haryana","NA","NA","1","1","2","4"
"1970-01-01T05:30:00Z","State","Himachal Pradesh","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","State","Jammu and Kashmir","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","State","Kerala","NA","NA","NA","NA","1","1"
"1970-01-01T05:30:00Z","State","Madhya Pradesh","5","NA","2","1","14","22"
"1970-01-01T05:30:00Z","State","Maharashtra","NA","NA","3","NA","5","8"
"1970-01-01T05:30:00Z","State","Manipur","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","State","Mysore","NA","NA","NA","NA","4","4"
"1970-01-01T05:30:00Z","State","Nagaland","NA","2","NA","NA","NA","2"
"1970-01-01T05:30:00Z","State","Orissa","NA","NA","NA","1","3","4"
"1970-01-01T05:30:00Z","State","Punjab","1","NA","5","1","10","17"
"1970-01-01T05:30:00Z","State","Rajasthan","NA","1","NA","NA","2","3"
"1970-01-01T05:30:00Z","State","Tamil Nadu","NA","NA","NA","NA","5","5"
"1970-01-01T05:30:00Z","State","Tripura","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","State","Uttar Pradesh","2","NA","7","2","11","22"
"1970-01-01T05:30:00Z","State","West Bengal","NA","42","31","1","NA","74"
"1970-01-01T05:30:00Z","State","Total (States)","9","45","61","9","60","184"
"1970-01-01T05:30:00Z","UT","A & N Islands","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Chandigarh","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","D & N Haveli","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Delhi","NA","NA","1","NA","2","3"
"1970-01-01T05:30:00Z","UT","Goa, Daman and Diu","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Lakshadweep","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Pondicherry","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","UT","Total (UTs)","NA","NA","1","NA","2","3"
"1970-01-01T05:30:00Z","Total (All-India)","Total (All-India)","9","45","62","9","62","187"
"1970-01-01T05:30:00Z","City","Ahmedabad","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","City","Bangalore","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","City","Bombay","NA","NA","3","NA","1","4"
"1970-01-01T05:30:00Z","City","Calcutta","NA","16","NA","NA","NA","16"
"1970-01-01T05:30:00Z","City","Delhi","NA","NA","1","NA","2","3"
"1970-01-01T05:30:00Z","City","Hyderabad","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","City","Kanpur","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","City","Madras","NA","NA","NA","NA","NA","NA"
"1970-01-01T05:30:00Z","City","Total (Cities)","NA","16","4","NA","3","23"
