SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,42,68,189,38,36,71,154,47,107,NA,107,73,34,47.4,68.2,0.4
2,State,Assam,84,200,232,54,106,196,160,64,96,NA,96,32,64,20,33.3,1.5
3,State,Bihar,393,792,923,131,401,972,604,450,154,19,135,77,58,12.7,57,1.6
4,State,Gujarat,43,268,389,79,50,221,350,114,236,27,209,61,148,17.4,29.2,1.5
5,State,Haryana,11,14,12,2,8,15,12,3,9,NA,9,5,4,41.7,55.6,0.1
6,State,Jammu & Kashmir,15,26,22,10,20,23,10,5,5,NA,5,2,3,20,40,0.6
7,State,Kerala,34,39,118,56,23,58,54,9,45,1,44,12,32,22.2,27.3,0.6
8,State,Madhya Pradesh,121,697,954,45,141,746,840,423,417,10,407,217,190,25.8,53.3,2.4
9,State,Maharashtra,377,846,1411,272,344,899,1119,453,666,46,614,279,335,24.9,45.4,2.9
10,State,Mysore,41,116,131,42,32,109,105,30,75,4,71,31,40,29.5,43.7,0.5
11,State,Nagaland,19,16,25,2,24,11,23,8,15,NA,15,14,1,60.9,93.3,5.9
12,State,Orissa,43,181,264,46,84,232,126,67,59,NA,58,34,24,27,58.6,1.2
13,State,Punjab,7,20,18,1,6,19,19,7,12,NA,12,8,4,42.1,66.7,0.1
14,State,Rajasthan,130,717,859,361,148,808,389,139,250,40,210,95,115,24.4,45.2,3.4
15,State,Tamil Nadu,20,24,141,18,18,33,116,17,99,1,98,73,25,62.9,74.5,0.4
16,State,Uttar Pradesh,548,1648,3406,976,453,2178,1995,1224,771,12,759,323,436,16.2,42.6,3.8
17,State,West Bengal,203,496,673,28,260,588,496,338,158,11,147,69,78,13.9,46.9,1.5
Total (States),State,Total (States),2131,6168,9767,2161,2154,7179,6572,3398,3174,171,2996,1405,1591,21.4,46.9,1.9
18,UT,A & N Islands,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3
19,UT,Chandigarh,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6
20,UT,Dadra & N. Haveli,NA,1,4,1,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,5.6
21,UT,Delhi,13,23,44,8,16,25,31,17,14,NA,14,6,8,19.4,42.9,1.1
22,UT,"Goa, Daman & Diu",2,11,19,1,NA,16,15,4,11,NA,11,10,1,66.7,90.9,2.8
23,UT,Himachal Pradesh,10,14,22,11,9,10,16,1,15,NA,15,7,8,43.8,46.7,0.6
24,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Manipur,35,39,43,1,53,36,27,15,12,NA,12,4,8,14.8,33.3,4
26,UT,Pondicherry,NA,NA,4,1,NA,2,1,NA,1,NA,1,NA,1,NA,NA,0.9
27,UT,Tripura,4,34,15,5,7,32,9,2,7,NA,7,NA,7,NA,NA,1
Total (UTs),UT,Total (UTs),65,122,155,31,86,124,101,41,60,NA,60,27,33,26.7,45,1.3
Total (All-India),Total (All-India),Total (All-India),2196,6290,9922,2192,2240,7303,6673,3439,3234,171,3056,1432,1624,21.5,46.9,1.8
1,City,Ahmedabad,NA,2,15,1,7,2,7,4,3,NA,3,NA,3,NA,NA,0.9
2,City,Bangalore,8,8,30,7,10,13,16,6,10,NA,10,7,3,43.8,70,1.7
3,City,Bombay,87,86,206,27,67,73,212,79,133,11,122,54,68,25.5,44.3,3.7
4,City,Calcutta,12,15,52,NA,5,20,54,25,29,NA,29,21,8,38.9,72.4,1.7
5,City,Delhi,8,20,33,6,13,20,22,11,11,NA,11,5,6,22.7,45.5,0.9
6,City,Hyderabad,11,4,22,6,14,7,10,7,3,NA,3,3,NA,30,100,1.6
7,City,Kanpur,15,68,99,26,14,72,70,36,34,NA,34,17,17,24.3,50,7.8
8,City,Madras,NA,NA,4,NA,1,NA,3,NA,3,NA,3,2,1,66.7,66.7,0.2
Total (Cities),City,Total (Cities),141,203,461,73,131,207,394,168,226,11,215,109,106,27.7,50.7,2.3
