SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,20,33,99,43,20,37,52,10,42,NA,42,15,27,28.8,35.7,0.2
2,State,Assam,181,399,368,146,207,326,269,55,214,NA,214,41,173,15.2,19.2,2.4
3,State,Bihar,302,656,498,150,291,776,239,93,146,28,118,39,79,16.3,33.1,0.9
4,State,Gujarat,40,145,239,43,47,157,177,28,149,2,147,44,103,24.9,29.9,0.9
5,State,Haryana,59,67,154,24,61,118,77,16,61,NA,61,19,42,24.7,31.1,1.6
6,State,Jammu & Kashmir,108,185,186,111,91,203,74,14,60,4,56,8,48,10.8,14.3,4.7
7,State,Kerala,15,23,97,42,22,29,42,3,39,4,35,12,23,28.6,34.3,0.5
8,State,Madhya Pradesh,147,715,834,29,191,796,680,246,434,10,424,173,251,25.4,40.8,2.1
9,State,Maharashtra,157,416,515,60,157,404,467,106,361,11,344,143,201,30.6,41.6,1.1
10,State,Mysore,36,91,144,55,31,116,69,15,54,1,53,14,39,20.3,26.4,0.5
11,State,Nagaland,9,21,16,2,15,21,8,2,6,NA,6,6,NA,75,100,3.8
12,State,Orissa,39,77,136,62,45,94,51,9,42,1,41,19,22,37.3,46.3,0.6
13,State,Punjab,127,199,313,125,144,207,163,52,111,1,110,40,70,24.5,36.4,2.2
14,State,Rajasthan,280,885,1105,646,216,1020,388,155,233,11,222,70,152,18,31.5,4.3
15,State,Tamil Nadu,56,50,335,198,46,39,158,24,134,3,131,45,86,28.5,34.4,0.9
16,State,Uttar Pradesh,510,1471,1945,222,505,1732,1467,843,624,12,612,231,381,15.7,37.7,2.2
17,State,West Bengal,354,357,863,268,373,414,519,291,228,22,206,48,158,9.2,23.3,2
Total (States),State,Total (States),2440,5790,7847,2226,2462,6489,4900,1962,2938,110,2822,967,1855,19.7,34.3,1.5
18,UT,A & N Islands,NA,1,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,0,0,4.4
19,UT,Chandigarh,6,3,23,13,8,3,8,4,4,NA,4,2,2,25,50,14.8
20,UT,Dadra & N. Haveli,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4
21,UT,Delhi,95,130,305,120,129,142,139,68,71,NA,71,23,48,16.5,32.4,7.5
22,UT,"Goa, Daman & Diu",1,9,9,1,2,9,7,2,5,1,4,2,2,28.6,50,1.3
23,UT,Himachal Pradesh,22,40,63,17,28,51,29,7,22,1,21,3,18,10.3,14.3,1.8
24,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Manipur,115,109,181,45,184,115,61,15,46,1,45,3,42,4.9,6.7,16.8
26,UT,Pondicherry,1,1,8,4,1,1,4,NA,4,1,3,1,2,25,33.3,1.8
27,UT,Tripura,8,17,23,13,5,20,10,3,7,NA,7,NA,7,NA,NA,1.6
Total (UTs),UT,Total (UTs),248,310,617,214,359,344,258,99,159,4,155,34,121,13.2,21.9,5.3
Total (All-India),Total (All-India),Total (All-India),2688,6100,8464,2440,2821,6833,5158,2061,3097,114,2977,1001,1976,19.4,33.6,1.6
1,City,Ahmedabad,4,20,32,5,2,16,33,6,27,NA,27,12,15,36.4,44.4,2
2,City,Bangalore,5,3,14,5,3,5,9,8,1,NA,1,NA,1,0,0,0.8
3,City,Bombay,53,78,170,16,53,60,172,41,131,3,129,52,77,30.2,40.3,3.1
4,City,Calcutta,54,23,139,35,49,13,119,102,17,NA,17,11,6,0.9,64.7,4.4
5,City,Delhi,89,112,270,110,118,123,120,52,68,NA,68,22,46,18.3,32.4,7.5
6,City,Hyderabad,5,4,11,NA,6,5,9,5,4,NA,4,2,2,22.2,50,0.8
7,City,Kanpur,14,64,111,11,18,69,91,52,39,NA,39,21,18,23.1,53.8,8.7
8,City,Madras,9,8,60,33,20,11,13,5,8,NA,8,5,3,38.5,62.5,2.9
Total (Cities),City,Total (Cities),233,312,807,215,269,302,566,271,295,3,293,125,168,22.1,42.7,4
