SL. No.,Category,States/U.Ts/Cities,Persons in Custody Pending Investigation or on Bail during the Stage of Investigation,Persons in Custody Pending Trial or on Bail during the Stage of Trial,Persons Arrested during the Year,Persons Released by the Police or Magistrate before Trial,Persons in whose Case Chargesheets were Laid,Number of Persons in whose Cases Trials were Completed,Persons Convicted,Persons Acquitted or Discharged,Persons against whom Cases were Compounded,Number of Persons in Custody Pending Investigationor on Bail during the Stage of Investigation at the End of the Year,Number of Persons in Custody Pending Trial or on Bail during the Stage of Trial at the End of the Year,Percentage of Conviction to Total Persons in whose Cases Chargesheets were Laid,Percentage of Conviction to Total Persons in whose Cases Trials were Completed
1,State,Andhra Pradesh,69,12,16,16,12,12,10,2,NA,49,20,83.3,83.3
2,State,Assam,9,12,16,6,7,7,1,6,NA,11,13,14.3,14.3
3,State,Bihar,13,39,32,8,14,6,5,1,8,5,57,35.7,83.3
4,State,Gujarat,NA,6,2,NA,NA,NA,NA,NA,NA,3,5,NA,NA
5,State,Haryana,3,NA,13,1,2,2,1,1,NA,NA,13,50,50
6,State,Jammu & Kashmir,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,State,Kerala,115,24,49,23,25,25,19,6,NA,71,69,76,76
8,State,Madhya Pradesh,NA,14,9,2,12,12,8,4,NA,3,6,66.7,66.7
9,State,Maharashtra,4,17,20,6,20,20,9,11,NA,4,11,45,45
10,State,Mysore,33,37,16,21,32,32,13,19,NA,11,22,40.6,40.6
11,State,Nagaland,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,State,Orissa,NA,13,4,NA,6,6,1,5,NA,NA,11,16.6,16.6
13,State,Punjab,14,7,19,10,2,2,1,1,NA,23,5,50,50
14,State,Rajasthan,5,3,12,1,2,2,2,NA,NA,2,15,100,100
15,State,Tamil Nadu,14,13,118,79,24,24,8,16,NA,9,33,33.3,33.3
16,State,Uttar Pradesh,18,58,22,10,22,22,16,6,NA,9,57,72.7,72.7
17,State,West Bengal,28,95,51,15,65,59,18,41,6,35,59,27.7,30.1
Total (States),State,Total (States),325,350,402,201,245,231,112,119,14,235,396,45.7,48.5
18,UT,A & N Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,UT,Chandigarh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,UT,Dadra & N. Haveli,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,UT,Delhi,NA,50,37,NA,13,13,2,11,NA,NA,74,15.4,15.4
22,UT,"Goa, Daman & Diu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,UT,Himachal Pradesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,UT,Lakshadweep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,UT,Manipur,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,UT,Pondicherry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,UT,Tripura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total (UTs),UT,Total (UTs),NA,50,37,NA,13,13,2,11,NA,NA,74,15.4,15.4
Total (All-India),Total (All-India),Total (All-India),325,400,439,201,258,244,114,130,14,235,470,44.2,46.7
1,City,Ahmedabad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,City,Bangalore,NA,4,1,3,1,1,NA,1,NA,NA,1,NA,NA
3,City,Bombay,4,8,6,NA,16,16,9,7,NA,1,1,56.3,56.3
4,City,Calcutta,8,5,5,3,2,2,NA,2,NA,11,2,NA,NA
5,City,Delhi,NA,50,37,NA,13,13,2,11,NA,NA,74,15.4,15.4
6,City,Hyderabad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,City,Kanpur,NA,4,NA,2,1,1,NA,1,NA,1,NA,0,0
8,City,Madras,NA,NA,76,75,1,1,1,NA,NA,NA,NA,100,100
Total (Cities),City,Total (Cities),12,71,125,83,34,34,12,22,NA,13,78,35.3,35.3
