SL. No.,Category,States/U.Ts/Cities,Year - 1968,Year - 1969,Percentage Variation Over 1968
1,State,Andhra Pradesh,58705,68865,17.3
2,State,Assam,40511,50184,23.9
3,State,Bihar,102394,111159,8.6
4,State,Gujarat,44250,45829,3.6
5,State,Haryana,11100,12344,11.2
6,State,Jammu & Kashmir,8860,10304,16.3
7,State,Kerala,36062,41987,16.4
8,State,Madhya Pradesh,103853,96239,-7.3
9,State,Maharashtra,98800,93449,-5.4
10,State,Mysore,50808,51331,1
11,State,Nagaland,840,832,-1
12,State,Orissa,39467,41801,5.9
13,State,Punjab,20040,19187,-4.3
14,State,Rajasthan,50922,45972,-9.7
15,State,Tamil Nadu,70293,66283,-5.7
16,State,Uttar Pradesh,143251,139981,-2.3
17,State,West Bengal,133892,115623,-13.6
Total (States),State,Total (States),1014048,1011370,-0.3
18,UT,A & N Islands,338,235,-30.5
19,UT,Chandigarh,722,697,-3.5
20,UT,Dadra & N. Haveli,92,130,41.3
21,UT,Delhi,13288,9859,-25.8
22,UT,"Goa, Daman & Diu",1710,1420,-11.1
23,UT,Himachal Pradesh,3381,3251,-3.8
24,UT,Lakshadweep,80,23,-71.2
25,UT,Manipur,2559,1996,-23
26,UT,Pondicherry,1440,2045,42
27,UT,Tripura,4649,3142,-32.4
Total (UTs),UT,Total (UTs),28259,22898,-19
Total (All-India),Total (All-India),Total (All-India),1042307,1034268,-0.8
1,City,Ahmedabad,3186,4939,55
2,City,Bangalore,5837,4833,-17.2
3,City,Bombay,21070,20012,-5
4,City,Calcutta,18491,16381,-11.4
5,City,Delhi,12619,8781,-30.5
6,City,Hyderabad,2403,2594,-7.9
7,City,Kanpur,2781,3146,13.1
8,City,Madras,7019,7121,-1.5
Total (Cities),City,Total (Cities),73406,67807,-7.6
