SL. No.,Years,7-12 Year,7-12 Year - Percentage to Total,12-16 Year,12-16 Year - Percentage to Total,16-18 Year,16-18 Year - Percentage to Total,18-21 Year,18-21 Year - Percentage to Total,Overall Age Groups
1,1975,14781,10.4,23118,16.3,20866,14.7,83134,58.6,141899
2,1976,19706,14.7,24073,18,19960,14.9,70234,52.4,133973
3,1977,15113,10.1,21391,14.4,24011,16.1,88407,59.4,148922
4,1978,11955,0.4,18954,11.8,25488,15.8,104522,65,160919
5,1979,105399,6.2,18315,10.8,26226,15.4,114963,67.6,170043
6,1980,10457,5.6,20048,10.7,36899,19.7,120181,64,187585
7,1981,9485,5,17649,9.3,33969,17.8,129464,67.9,190567
8,1982,8272,4.9,15218,9.1,25618,15.2,119229,70.8,168337
9,1983,8290,4.8,16949,9.9,26153,15.2,120222,70.1,171614
10,1984,5846,3.6,12472,7.7,25054,15.4,118888,73.3,162260
11,1985,5991,3.6,11516,6.8,21172,12.6,129820,77,168499
Percentage Change in 1985 Over 1975,Percentage Change in 1985 Over 1975,-59.5,NA,-50.2,NA,1.5,NA,56.2,NA,18.7
Percentage Change in 1985 Over 1984,Percentage Change in 1985 Over 1984,2.5,NA,-7.7,NA,-15.5,NA,9.2,NA,3.8
