SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial,Percentage of Cases in which Trials were Completed to Total Cases for Trial,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Murder,0.4,23.4,76.2,42.5
2,Culpable Homicide Not Amounting to Murder,0.7,24.9,74.4,44.4
3,Rape,0.6,24.5,74.9,39
4,Kidnapping & Abduction,2.6,19,78.4,35.8
5,Dacoity,0.7,18.2,81.1,38.7
6,Robbery,0.9,18.6,80.5,42.1
7,Burglary,2.6,21.9,75.5,49.1
8,Theft,2.8,23.3,73.9,54.1
9,Riots,5.4,15.3,79.3,34.4
10,Criminal Breach of Trust,1.9,15.7,43.5,82.4
11,Cheating,2.9,17.8,79.3,45.4
12,Counterfeiting,2.6,34.4,63,40.7
13,Other IPC Offences,6.8,23.6,69.6,52.5
14,Total Cognizable Crimes Under IPC,5.2,22.1,72.7,50.2
