SL. No.,Heads of Crimes,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from previous year,Persons released or freed by police or magistrate before trial for want of evidence or any other reason,Persons in whose cases chargesheets were laid during the year,Persons in custody or on bail during the stage of investigation at the end of the year,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody or on bail during the stage of investigation
1,Arms Act,71116,1168,61304,8644,86.2,12.2
2,Opium Act,20531,200,16184,4147,78.8,20.2
3,Gambling Act,316994,988,301886,14120,95.2,4.5
4,Excise Act,130450,1124,109734,19592,84.1,15
5,Prohibition Act,746837,124315,358832,263690,48,35.3
6,Explosive & Explosive Substances Act,7620,479,3865,3276,50.7,43
7,Suppression of Immoral Traffic Act,17207,34,16159,1014,93.9,5.9
8,Motor Vehicles Act,1185943,9708,1145067,31168,96.6,2.6
9,Prevention of Corruption Act,678,26,288,364,42.5,53.7
10,Customs Act,174,86,58,30,33.3,17.2
11,Indian Railways Act,38088,99,37237,752,97.8,2
12,Other Offences,1334044,43295,1253303,37446,93.9,2.8
13,Total Cognizable Crimes Under Local and Special Laws,3869682,181522,3303917,384243,85.4,9.9
