SL. No.,Heads of Crime,Percentage of New Offenders to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three time or more
1,Murder,83,12.8,2.2,2
2,Culpable Homicide Not Amounting to Murder,76.5,15.9,5.6,2
3,Rape,86.7,11.2,1.7,0.4
4,Kidnapping & Abduction,67.9,21.3,7.7,3.1
5,Dacoity,81.7,12.1,5.1,1.1
6,Robbery,82.7,13.4,2.4,1.5
7,Burglary,80.7,13,3.9,2.4
8,Theft,81,14.8,2.6,1.6
9,Riots,92.4,4.9,1.6,1.1
10,Criminal Breach of Trust,88.2,9.1,1.9,0.8
11,Cheating,88.7,8.5,1.9,0.9
12,Counterfeiting,84.3,12.3,3.1,0.3
13,Total Cognizable Crimes Under IPC,86.9,9.9,2,1.2
