SL. No.,Category,States/U.Ts./Cities,1984,1985,Percentage Variation in 1985 Over 1984
1,State,Andhra Pradesh,128913,126104,-2.2
2,State,Assam,53738,52334,-2.6
3,State,Bihar,213556,213552,0
4,State,Gujarat,119648,145312,21.4
5,State,Haryana,28897,30819,6.7
6,State,Himachal Pradesh,7726,7694,-0.4
7,State,Jammu & Kashmir,22418,33647,50.1
8,State,Karnataka,127941,128228,2
9,State,Kerala,81976,79443,-3.1
10,State,Madhya Pradesh,227026,230788,1.7
11,State,Maharashtra,246948,238758,-3.3
12,State,Manipur,2956,2679,-9.4
13,State,Meghalaya,1970,2739,39
14,State,Nagaland,1929,2030,5.2
15,State,Orissa,77130,85751,11.2
16,State,Punjab,23441,18845,-19.6
17,State,Rajasthan,116431,124671,7.1
18,State,Sikkim,246,292,18.7
19,State,Tamil Nadu,161717,215454,33.2
20,State,Tripura,5658,7018,24
21,State,Uttar Pradesh,257069,276677,7.6
22,State,West Bengal,135072,124905,-7.5
Total (States),State,Total (States),2042406,2147740,5.2
23,UT,A & N Islands,878,821,-6.5
24,UT,Arunachal Pradesh,818,1138,-39.1
25,UT,Chandigarh,5307,1496,-71.8
26,UT,D & N Haveli,302,524,73.5
27,UT,Delhi,20169,18064,-10.4
28,UT,"Goa, Daman & Diu",4020,4071,-1.3
29,UT,Lakshadweep,18,1,-94.4
30,UT,Mizoram,2479,2415,-2.6
31,UT,Pondicherry,3142,4140,31.8
Total (UTs),UT,Total (UTs),37133,32670,-12
All India,All India,All India,2079539,2180410,4.9
1,City,Ahmedabad,11938,16736,40.2
2,City,Bangalore,11900,10548,-11.4
3,City,Bombay,26417,27147,2.8
4,City,Calcutta,21936,22104,0.8
5,City,Delhi,18919,16855,-10.9
6,City,Hyderabad,6425,5716,-11
7,City,Jaipur,4866,5552,14.1
8,City,Kanpur,3527,5908,67.5
9,City,Lucknow,3281,2967,-9.6
10,City,Madras,10663,13493,26.5
11,City,Nagpur,7143,7841,9.8
12,City,Pune,12728,13567,6.6
Total (Cities),City,Total (Cities),139743,148434,6.2
