SL. No.,Heads of Offences,Number of Cases Reported During - 1980,Number of Cases Reported During - 1981,Number of Cases Reported During - 1982,Number of Cases Reported During - 1983,Number of Cases Reported During - 1984,Quiquennial average 1980 to 1984,Cases reported during - 1985,Percentage Change in 1985 Over - Quinquennial Average,Percentage Change in 1985 Over - 1984
1,Murder,1038,1228,1289,1257,1186,1200,1178,-1.8,-0.7
2,Culpable Homicide Not Amounting to Murder,89,92,72,84,121,92,185,101.1,52.9
3,Rape,459,438,441,454,473,453,371,-18.1,-21.4
4,Kidnapping & Abduction,482,527,612,665,523,562,528,11.7,20.1
5,Dacoity,455,613,651,548,391,532,349,-34.4,-10.7
6,Robbery,941,1057,982,991,807,956,751,-21.4,-6.9
7,Burglary,6434,6720,6214,5795,5030,6039,4793,-20.6,-4.7
8,Theft,17093,17516,14029,13531,11449,14723,11297,-23.3,-1.3
9,Riots,8384,9979,10906,8795,7009,9014,6560,-27.2,-6.4
10,Criminal Breach of Trust,287,272,226,226,214,245,265,8.2,23.8
11,Cheating,292,285,330,281,207,279,227,-18.4,9.7
12,Counterfeiting,2,15,3,18,880,25,20,-20,-77.3
13,Other IPC Offences,19173,22277,23590,22828,15305,20634,22693,10,48.3
14,Total Cognizable Crimes Under IPC,55129,61019,59345,55473,42803,54754,49317,-9.9,15.2
