SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completed During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder,63792,286,14925,6339,48581
2,Culpable Homicide Not Amounting to Murder,9383,68,2332,1035,6983
3,Rape,16638,105,4078,1591,12455
4,Kidnapping & Abduction,30012,774,5705,2041,23533
5,Dacoity,34888,247,6349,2460,28292
6,Robbery,45239,395,8421,3544,36423
7,Burglary,182404,4815,39862,19585,137727
8,Theft,440167,12542,102432,55460,325193
9,Riots,292290,15855,44753,15381,231682
10,Criminal Breach of Trust,50689,966,7939,3455,41784
11,Cheating,41809,1223,7447,3384,33139
12,Counterfeiting,1000,26,344,140,630
13,Other IPC Offences,1534743,104702,361478,189866,1068563
14,Total Cognizable Crimes Under IPC,2743054,142004,606065,304281,1994985
