SL. No. (Col. 1),Heads of Crime (Col. 2),Total Number of Cases for Investigation During the Year Including the Cases Carried over from Previous Year (Col. 3),Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable (Col. 4),Number of Cases Other than Shown in Column 4 in which Investigation was Completed (Col. 5),Number of Cases in which Chargesheets were Laid (Col. 6),Number of Cases in which Could not be Sent for Trial for Want of Evidence (Col. 7),Number of Pending Investigation at the End of the Year (Col. 8)
1,Arms Act,70361,300,61901,60160,1741,8160
2,Opium Act,20079,33,15476,15105,371,4570
3,Gambling Act,184604,637,179001,177916,1085,4966
4,Excise Act,126631,621,106614,104674,1940,19396
5,Prohibition Act,672820,43621,372872,305871,67001,256327
6,Explosive & Explosive Substances Act,5365,113,2926,2310,616,2326
7,Suppression of Immoral Traffic Act,15087,5,14465,14399,66,617
8,Motor Vehicles Act,1202866,534,1190807,171125,19682,11525
9,Prevention of Corruption Act,814,12,492,448,44,310
10,Customs Act,99,26,67,63,4,6
11,Indian Railways Act,33098,455,31842,30572,1270,801
12,Other Offences,1160577,30999,1085630,2074480,11150,43948
13,Total Cognizable Crimes Under Local and Special Laws,3492401,77356,3062093,2957123,104970,352952
