SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from previous year,Persons released or freed by police or magistrate before trial for want of evidence or any other reason,Persons in whose cases chargesheets were laid during the year,Persons in custody or on bail during the stage of investigation at the end of the year,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody or on bail during the stage of investigation
1,Murder,80498,4177,58995,17326,73.3,21.5
2,Culpable Homicide Not Amounting to Murder,10077,656,7230,2191,71.7,21.7
3,Rape,12804,761,9178,2865,71.7,22.4
4,Kidnapping & Abduction,25122,2750,17212,5160,68.5,20.5
5,Dacoity,61453,10890,32808,17755,53.4,28.9
6,Robbery,35259,4802,23165,7292,65.7,20.7
7,Burglary,111347,10527,85952,14868,77.2,13.4
8,Theft,254089,27205,187791,39093,73.9,15.4
9,Riots,744733,55131,534223,155379,71.7,20.9
10,Criminal Breach of Trust,24009,2017,13617,8375,56.7,34.9
11,Cheating,25540,2408,15082,8050,59.1,31.5
12,Counterfeiting,1376,153,573,650,41.6,47.2
13,Total Cognizable Crimes Under IPC,2574346,184477,1978226,411643,76.8,16
