SL. No.,Heads of Crimes,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trials were completed,Persons in custody or on bail at the end of the year,Persons convicted during the year,Percentage of persons in custody or bail pendind trial to number of persons under trial,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder,197364,1151,46256,149957,19671,76,42.5
2,Culpable Homicide Not Amounting to Murder,22764,185,5671,16908,2527,74.3,44.6
3,Rape,26758,172,6743,19843,2347,74.2,34.8
4,Kidnapping & Abduction,61629,868,12537,48224,4537,78.2,36.2
5,Dacoity,161186,363,31546,129277,12115,80.2,38.4
6,Robbery,97054,797,19333,76924,7905,79.3,40.9
7,Burglary,329426,7715,68278,253433,30860,76.9,45.2
8,Theft,705664,21531,147778,536355,71128,76,48.1
9,Riot,2019271,113542,354638,1551091,123910,76.8,34.9
10,Criminal Breach of Trust,66388,1285,10608,54495,4291,82.1,40.5
11,Cheating,62244,1764,11015,49465,4418,79.5,40.1
12,Counterfeiting,1634,4,269,1361,91,83.3,33.8
13,Total Cognizable Crime Under IPC,6567589,331467,1362126,4873996,580286,74.2,42.6
