SL. No.,Category,States/U.Ts/Cities,Number of Cases Reported,Below 16 Years,Between 16 to 30 Years,Above 30 Years
1,State,Andhra Pradesh,409,24,296,89
2,State,Assam,332,16,263,53
3,State,Bihar,686,112,386,188
4,State,Gujarat,130,26,95,9
5,State,Haryana,105,38,47,20
6,State,Himachal Pradesh,33,9,21,3
7,State,Jammu and Kashmir,207,25,163,19
8,State,Karnataka,121,37,78,6
9,State,Kerala,130,43,78,9
10,State,Madhya Pradesh,1465,21,1198,246
11,State,Maharashtra,673,265,356,52
12,State,Manipur,17,12,4,1
13,State,Meghalaya,16,5,11,NA
14,State,Nagaland*,13,2,16,NA
15,State,Orissa,154,23,107,24
16,State,Punjab,82,21,42,19
17,State,Rajasthan,522,66,336,120
18,State,Sikkim,6,1,5,NA
19,State,Tamil Nadu,230,73,133,24
20,State,Tripura,34,NA,28,6
21,State,Uttar Pradesh,1163,146,819,198
22,State,West Bengal,597,114,418,65
Total (States),State,Total (States),7125,1079,4900,1151
23,UT,A & N Islands,3,2,1,NA
24,UT,Arunachal Pradesh,5,1,3,1
25,UT,Chandigarh,4,1,2,1
26,UT,D & N Haveli*,1,NA,2,NA
27,UT,Delhi,83,19,56,8
28,UT,"Goa, Daman & Diu",9,4,4,1
29,UT,Lakshadweep,NA,NA,NA,NA
30,UT,Mizoram,51,17,17,17
31,UT,Pondicherry,8,4,4,NA
Total (UTs),UT,Total (UTs),164,48,89,28
All India,All India,All India,7289,1127,4989,1179
1,City,Ahmedabad,10,7,3,NA
2,City,Bangalore,15,8,6,1
3,City,Bombay,102,44,51,7
4,City,Calcutta,27,19,8,NA
5,City,Delhi,71,18,45,8
6,City,Hyderabad,31,9,15,7
7,City,Jaipur*,19,3,14,3
8,City,Kanpur,36,10,22,4
9,City,Lucknow,29,4,19,6
10,City,Madras,13,4,7,2
11,City,Nagpur,27,19,6,2
12,City,Pune,22,10,12,NA
Total (Cities),City,Total (Cities),402,155,208,40
