SL. No. (Col. 1),Heads of Crime (Col. 2),Total Number of Cases for Investigation During the Year Including Cases Carried Over from Previous Year (Col. 3),Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable (Col. 4),Number of Cases Other than Shown in Column 4 in which Investigation was Completed (Col. 5),Number of Cases in which Chargesheets were Laid (Col. 6),Number of Cases in which Could not be Sent for Trial for Want of Evidence (Col. 7),Number of Cases Pending Investigation at the End of the Year (Col. 8)
1,Murder,37528,1059,24769,20135,4634,11700
2,Culpable Homicide Not Amounting to Murder,5623,208,3807,2882,925,1608
3,Rape,9593,703,6373,5639,734,2517
4,Kidnapping and Abduction,21818,4104,11331,8350,2981,6383
5,Dacoity,18671,1363,10400,6600,3800,6908
6,Robbery,29164,4093,18460,10595,7865,6611
7,Burglary,158292,8195,122713,49592,73121,27384
8,Theft,398599,24044,300422,125792,174630,74133
9,Riots,133784,16596,87319,73802,13517,29869
10,Criminal Breach of Trust,31845,3446,15116,10224,4892,13283
11,Cheating,33656,4264,16320,10511,5809,13072
12,Counterfeiting,2317,383,810,284,526,1124
13,Other IPC Offences,809475,59745,630674,551628,79046,119056
14,Total Cognizable Crimes Under IPC,1690365,128203,1248514,876034,372480,313648
