SL. No.,Heads of Crime,Percentage of Cases not Investigated for Mistake of Fact or Law Non Cognizable to Total Cases for Investigation,Percentage of True Cases Investigation to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total True Cases in which Investigation was Completed
1,Arms Act,0.4,88,11.6,97.2
2,Opium Act,0.2,77.1,22.8,75.2
3,Gambling Act,0.3,97,2.7,99.4
4,Excise Act,0.5,84.2,15.3,98.2
5,Prohibition Act,6.5,55.4,38.1,82
6,Explosive & Explosive Substances Act,2.1,54.5,43.4,78.9
7,Suppression of Immoral Traffic Act,Neg.,95.9,4.1,99.5
8,Motor Vehicles Act,Neg.,99,1,14.4
9,Prevention of Corruption Act,1.5,60.4,38.1,91.1
10,Customs Act,26.3,67.7,6.1,94
11,Indian Railways Act,1.4,96.2,2.4,96
12,Other Offences,2.7,93.5,3.8,91.1
13,Total Cognizable Crimes Under Local and Special Laws,2.2,87.7,10.1,96.6
