SL. No.,Heads of Crime,"Percentage of Cases not Investigated Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Crime Cases Investigation to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total True Cases in which Investigation was Completed
1,Murder,2.8,66,31.2,81.3
2,Culpable Homicide Not Amounting to Murder,3.7,67.7,28.6,75.7
3,Rape,7.3,66.4,26.2,88.5
4,Kidnapping & Abduction,18.8,51.9,29.3,73.7
5,Dacoity,7.3,55.7,37,63.5
6,Robbery,14,63.3,22.7,57.4
7,Burglary,5.2,77.5,17.3,40.4
8,Theft,6,75.4,18.6,41.9
9,Riots,12.4,65.3,22.3,84.5
10,Criminal Breach of Trust,10.8,47.5,41.7,67.6
11,Cheating,12.7,48.5,38.8,64.4
12,Counterfeiting,16.5,35,48.5,35.1
13,Other IPC Offences,7.4,77.9,14.7,87.5
14,Total Cognizable Crimes Under IPC,7.6,73.9,18.6,70.2
