SL. No.,State/UT,Incidence,Percentage Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs),Rate**,Rate*
1,Andhra Pradesh,193,3.8,705.3,0.3,9
2,Arunachal Pradesh,2,0,9.4,0.2,11
3,Assam,0,0,241.1,0,NA
4,Bihar,103,2.1,929.3,0.1,13
5,Goa,0,0,12.5,0,NA
6,Gujarat,430,8.6,438.5,1,5
7,Haryana,1,0,177.1,0,18
8,Himachal Pradesh,1,0,55.1,0,16
9,Jammu & Kashmir,0,0,83.2,0,NA
10,Karnataka,67,1.3,473.7,0.1,12
11,Kerala,148,2.9,304.9,0.5,8
12,Madhya Pradesh,1774,35.3,707.8,2.5,4
13,Maharashtra,446,8.9,842.7,0.5,7
14,Manipur,0,0,19.8,0,NA
15,Meghalaya,1,0,19.2,0.1,15
16,Mizoram,0,0,7.7,0,NA
17,Nagaland,0,0,13.4,0,NA
18,Orissa,183,3.6,336.6,0.5,6
19,Punjab,1,0,213.1,0,19
20,Rajasthan,1396,27.8,472.5,3,3
21,Sikkim,22,0.4,4.5,4.9,2
22,Tamil Nadu,144,2.9,577.4,0.2,10
23,Tripura,0,0,29.8,0,NA
24,Uttar Pradesh,97,1.9,1476,0.1,14
25,West Bengal,0,0,720.8,0,NA
Total (States),Total (States),5009,99.8,8871.4,0.6,NA
26,A & N Islands,0,0,3.2,0,NA
27,Chandigarh,0,0,7.4,0,NA
28,D & N Haveli,9,0.2,1.5,6,1
29,Daman & Diu,0,0,1.1,0,NA
30,Delhi,1,0,105.9,0,17
31,Lakshadweep,0,0,0.6,0,NA
32,Pondicherry,0,0,8.6,0,NA
Total (UTs),Total (UTs),10,0.2,128.3,0.1,NA
Total (All -India),Total (All -India),5019,100,8999.7,0.6,NA
