SL. No. (Col. 1),State/UT (Col. 2),Total No. of Cases for Trial Including Pending Cases (Col. 3),No. of Cases Compounded or Withdrawn (Col. 4),No. of Cases in which Trials were Completed Convicted (Col. 5),No. of Cases in which Trials were Completed Acquitted or Discharged (Col. 6),No. of Cases in which Trials were Completed Total (Col. 5+6) (Col. 7),No. of Cases Pending Trial (Col. 8),Pendency Percentage (Col. 9),Percentage of Pendency to All India Total (Col. 10),Conviction Rate (Col. 11)
1,Andhra Pradesh,693203,1201,653587,13576,667163,24839,3.6,0.9,98
2,Arunachal Pradesh,246,2,6,2,8,236,95.9,0,75
3,Assam,8992,50,566,1106,1672,7270,80.8,0.3,33.9
4,Bihar,31681,414,2266,3447,5713,25554,80.7,9,39.7
5,Goa,6840,3,801,31,832,6005,87.8,0.2,96.3
6,Gujarat,881383,1675,70238,122017,192255,687453,78,24.6,36.5
7,Haryana,83568,0,12467,10355,22822,60746,72.7,2.2,54.6
8,Himachal Pradesh,19000,90,887,2164,3051,15859,83.5,0.6,29.1
9,Jammu & Kashmir,6108,0,176,318,494,5614,91.9,0.2,35.6
10,Karnataka,863145,675,684868,28223,713091,149379,17.3,5.4,96
11,Kerala,11332,180,2613,2045,4658,6494,57.3,0.2,56.1
12,Madhya Pradesh,328732,739,208791,8148,216939,111054,33.8,4,96.2
13,Maharashtra,1279689,6436,278780,89729,368509,904744,70.7,32.4,75.7
14,Manipur,4759,0,2992,3,2995,1764,37.1,0.1,99.9
15,Meghalaya,676,0,94,2,96,580,85.8,0,97.9
16,Mizoram,787,0,158,161,319,468,59.5,0,49.5
17,Nagaland,1286,1,229,5,234,1051,81.7,0,97.9
18,Orissa,12544,18,1123,1214,2337,10189,81.2,0.4,48.1
19,Punjab,45677,401,11911,6613,18524,26752,58.6,1,64.3
20,Rajasthan,70887,269,9507,2878,12385,58233,82.1,2.1,76.8
21,Sikkim,523,0,246,48,294,229,43.8,0,83.7
22,Tamil Nadu,924720,8158,615190,81836,697026,219536,23.7,7.9,88.3
23,Tripura,327,23,17,93,110,194,59.3,0,15.5
24,Uttar Pradesh,664846,6392,199007,49696,248703,409751,61.6,14.7,80
25,West Bengal,433677,80372,330415,2579,332994,20311,4.7,0.7,99.2
Total (States),Total (States),6374628,107099,3086935,426289,3513224,2754305,43.2,98.7,87.9
26,A & N Islands,3535,0,1578,17,1595,1940,54.9,0.1,98.9
27,Chandigarh,343,0,71,38,109,234,68.3,0,65.1
28,D & N Haveli,61,0,17,4,21,40,65.6,0,81
29,Daman & Diu,22,0,1,5,6,16,72.7,0,16.7
30,Delhi,43146,0,4803,3109,7912,35234,81.7,1.3,60.7
31,Lakshadweep,3,0,2,0,2,1,33.3,0,100
32,Pondicherry,27073,0,26956,15,26971,102,0.4,0,99.9
Total (UTs),Total (UTs),74183,0,33428,3188,36616,37567,50.6,1.3,91.3
Total (All -India),Total (All -India),6448811,107099,3120363,429477,3549840,2791872,43.3,100,87.9
