SL. No.,State/UT,Incidence,Percentage Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs),Rate**,Rate*
1,Andhra Pradesh,427,7.3,705.3,0.6,14
2,Arunachal Pradesh,17,0.3,9.4,1.8,4
3,Assam,176,3,241.1,0.7,12
4,Bihar,396,6.8,929.3,0.4,20
5,Goa,6,0.1,12.5,0.5,19
6,Gujarat,312,5.4,438.5,0.7,13
7,Haryana,159,2.7,177.1,0.9,9
8,Himachal Pradesh,75,1.3,55.1,1.4,6
9,Jammu & Kashmir,5,0.1,83.2,0.1,29
10,Karnataka,117,2,473.7,0.2,26
11,Kerala,77,1.3,304.9,0.3,25
12,Madhya Pradesh,1022,17.6,707.8,1.4,5
13,Maharashtra,999,17.2,842.7,1.2,7
14,Manipur,1,0,19.8,0.1,30
15,Meghalaya,7,0.1,19.2,0.4,22
16,Mizoram,17,0.3,7.7,2.2,3
17,Nagaland,1,0,13.4,0.1,27
18,Orissa,127,2.2,336.6,0.4,21
19,Punjab,54,0.9,213.1,0.3,24
20,Rajasthan,236,4.1,472.5,0.5,17
21,Sikkim,4,0.1,4.5,0.9,10
22,Tamil Nadu,42,0.7,577.4,0.1,28
23,Tripura,16,0.3,29,0.5,16
24,Uttar Pradesh,718,12.4,1476,0.5,18
25,West Bengal,422,7.3,720.8,0.6,15
Total (States),Total (States),5433,93.5,8871.4,0.6,NA
26,A & N Islands,1,0,3.2,0.3,23
27,Chandigarh,6,0.1,7.4,0.8,11
28,D & N Haveli,4,0.1,1.5,2.7,2
29,Daman & Diu,0,0,1.1,0,NA
30,Delhi,361,6.2,105.9,3.4,1
31,Lakshadweep,0,0,0.6,0,NA
32,Pondicherry,8,0.1,8.6,0.9,8
Total (UTs),Total (UTs),380,6.5,128.3,3,NA
Total (All -India),Total (All -India),5813,100,8999.7,0.6,NA
