SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 3),Percentage of Cases to total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of fact or Law Etc. (Col. 4),Percentage of Cases to total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to total Cases for Investigation in which - Investigation was Completed - Chargesheets were Laid (Col. 6),Percentage of Cases to total Cases for Investigation in which - Investigation was Completed - Total (Col. 4+5+6) (Col. 7),Percentage of Cases Pending Investigation (Col. 8),Chargesheeting Rate (Col. 9)
1,Arms Act,0,0.8,2.8,80.8,84.4,15.6,96.6
2,Narcotic Drugs & Psychotropic Substances Act,0.1,0.2,2.6,61.6,64.4,35.5,95.9
3,Gambling Act,0,0,0.2,96.8,97,3,99.8
4,Excise Act,1.9,0.5,1.2,82.5,84.2,13.9,98.6
5,Prohibition Act,0.5,0.2,1.3,84.4,86,13.5,98.5
6,Explosive & Explosive Subs. Act,0.2,1.2,8.1,44.3,53.5,46.3,84.5
7,Immoral Traffic (Prevention) Act,0,0.1,0.2,93.1,93.3,6.7,99.8
8,Indian Railways Act,0.3,0.5,2.1,90.1,92.7,7,97.7
9,Registration of Foreigners Act,0,0.3,1,85.7,87.1,12.9,98.8
10,Protection Of Civil Rights Act,0.8,13.1,3.3,66.8,83.2,15.9,95.3
11,Indian Passport Act,0.1,1.9,6.5,69.2,77.6,22.3,91.4
12,Essential Commodities Act,0.1,3,10,49.7,59.6,40.3,82.4
13,Terrorist & Disruptive Actvites Act,0.3,0.7,29.3,5.5,35.5,64.2,15.8
14,Antiquity & Art Treasure Act,1.3,3.8,9,35.9,48.7,50,80
15,Dowry Prohibition Act,1,7.6,5.7,56.1,69.4,29.6,90.8
16,Other SLL Crimes,0.4,2.5,1.5,93.1,97,2.6,98.4
17,Total Cognizable Crimes Under SLL,0.4,1.9,1.5,90.4,93.8,5.8,98.4
