SL. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for Trial Including Pending Cases (Col. 3),No. of Cases Compounded or with Drawn (Col. 4),No. of Cases in which Trials were Completed Convicted (Col. 5),No. of Cases in which Trials were Completed Acquitted or Discharged (Col. 6),No. of Cases in which Trials were Completed Total (Col. 5+6) (Col. 7),No. of Cases Pending Trial (Col. 8)
1,Arms Act,237513,332,29984,19650,49634,187547
2,Narcotic Drugs & Psychotropic Substances Act,79619,256,5688,8314,14002,65361
3,Gambling Act,362365,633,119443,24652,144095,217637
4,Excise Act,282672,620,70833,21789,92622,189430
5,Prohibition Act,1899377,10714,381693,205152,586845,1301818
6,Explosive & Explosive Substances Act,18248,39,1640,1327,2967,15242
7,Immoral Traffic (P) Act,18723,25,11029,1301,12330,6368
8,Indian Railways Act,43639,469,23469,2174,25643,17527
9,Registration of Foreigners Act,2628,6,1352,89,1441,1181
10,Protection Of Civil Rights Act,13801,262,582,2133,2715,10824
11,Indian Passport Act,1516,21,381,124,505,990
12,Essential Commodities Act,28047,843,1388,2583,3971,23233
13,Terrorist & Disruptive Actvites Act,2301,15,64,153,217,2069
14,Antiquity & Art Treasure Act,54,0,13,3,16,38
15,Dowry Prohibition Act,6725,212,461,973,1434,5079
16,Other SLL Crimes,3451583,92652,2472343,139060,2611403,747528
17,Total Cognizable Crimes Under SLL,6448811,107099,3120363,429477,3549840,2791872
