SL.No.,Crime Head,Male,Female,Total,Percentage to Total Male,Percentage to Total Female
1,Murder,82329,3487,85816,95.9,4.1
2,Attempt to Commit Murder,73852,1962,75614,97.7,2.3
3,C.H. Not Amounting to Murder,8082,327,8409,96.1,3.9
4,Rape,18619,261,18880,98.6,1.4
5,Kidnapping & Abduction,27474,1106,28580,96.1,3.9
5,I) Of Womens & Girls,16658,894,17552,94.9,5.1
5,II) Of Others,10816,212,11028,98.1,1.9
6,Dacoity,29519,165,29684,99.4,0.6
7,Preparation & Assembly for Dacoity,4675,21,4696,99.6,0.4
8,Robbery,30118,124,30242,99.6,0.4
9,Burglary,80324,1368,81692,98.3,1.7
10,Theft,192559,4787,197346,97.6,2.4
11,Riots,491368,19595,510963,96.2,3.8
12,Criminal Breach of Trust,15307,262,15569,98.3,1.7
13,Cheating,28795,661,29456,97.8,2.2
14,Counterfeiting,1200,32,1232,97.4,2.6
15,Other IPC Crimes,1321681,62124,1383805,95.5,4.5
16,Total Cognizable Crimes Under IPC,2405902,96082,2501984,96.2,3.8
