SL. No.,State/UT/City,No. of Cases Reported,Number of Victims - Below 10 Years,Number of Victims - 10-16 Years,Number of Victims - 16-30 Years,Number of Victims - 30 Years and Above
1,Andhra Pradesh,873,72,288,433,80
2,Arunachal Pradesh,28,5,12,11,0
3,Assam,530,23,119,308,80
4,Bihar,1130,15,198,722,195
5,Goa*,8,1,2,5,1
6,Gujarat,356,20,93,186,57
7,Haryana,258,29,90,114,25
8,Himachal Pradesh,110,9,30,61,10
9,Jammu & Kashmir*,109,3,2,72,35
10,Karnataka,281,27,72,161,21
11,Kerala,197,9,53,115,20
12,Madhya Pradesh,2929,97,712,1680,440
13,Maharashtra,1304,92,399,705,108
14,Manipur,5,1,0,2,2
15,Meghalaya,34,0,7,24,3
16,Mizoram,44,2,15,23,4
17,Nagaland,12,0,0,10,2
18,Orissa,436,14,66,288,68
19,Punjab,108,8,34,52,14
20,Rajasthan,1002,76,129,644,153
21,Sikkim,9,3,1,4,1
22,Tamil Nadu,237,9,23,179,26
23,Tripura,61,1,12,32,16
24,Uttar Pradesh,2078,71,467,1205,335
25,West Bengal,743,89,270,302,82
Total (States),Total (States),12882,676,3094,7338,1778
26,A & N Islands*,4,1,0,2,2
27,Chandigarh,6,2,1,1,2
28,D & N Haveli,2,0,1,1,0
29,Daman & Diu,1,0,0,1,0
30,Delhi*,309,54,146,98,16
31,Lakshadweep,0,0,0,0,0
32,Pondicherry,4,1,2,1,0
Total (UTs),Total (UTs),326,58,150,104,20
Total (All -India),Total (All -India),13208,734,3244,7442,1798
33,Ahmedabad,20,5,10,0,5
34,Bangalore,61,4,27,28,2
35,Bhopal,62,4,18,23,17
36,Bombay,150,32,57,54,7
37,Calcutta,36,4,14,15,3
38,Coimbatore,1,0,0,1,0
39,Delhi*,252,44,116,83,12
40,Hyderabad,49,9,15,22,3
41,Indore,29,3,9,12,5
42,Jaipur,22,1,5,11,5
43,Kanpur,31,3,9,12,7
44,Kochi,7,0,0,6,1
45,Lucknow,33,3,11,14,5
46,Ludhiana,11,1,5,2,3
47,Madras,14,1,5,8,0
48,Madurai,4,0,0,4,0
49,Nagpur,46,5,13,23,5
50,Patna,25,0,0,20,5
51,Pune,52,1,25,22,4
52,Surat,10,2,6,2,0
53,Vadodara,13,1,3,4,5
54,Varanasi,9,0,2,3,4
55,Vishakhapatnam,21,1,5,15,0
