SL. No.,State/UT,Estimated Mid-Year Population,Murder - I,Murder - R,Murder - P,Dacoity - I,Dacoity - R,Dacoity - P,Robbery - I,Robbery - R,Robbery - P,Arson - I,Arson - R,Arson - P,Kidnapping & Abduction - I,Kidnapping & Abduction - R,Kidnapping & Abduction - P,Rape - I,Rape - R,Rape - P,Protection of Civil Rights Act - I,Protection of Civil Rights Act - R,Protection of Civil Rights Act - P,Others - I,Others - R,Others - P,Total - I,Total - R,Total - P
1,Andhra Pradesh,693.4,29,0,5.7,0,0,0,1,0,0.5,1,0,0.3,7,0,2.8,38,0.1,4.8,277,0.4,10.9,325,0.5,1.6,678,1,2.7
2,Arunachal Pradesh,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,235.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,909.5,41,0,8,16,0,15.7,5,0,2.5,15,0,4.1,15,0,6.1,38,0,4.8,23,0,0.9,568,0.6,2.8,721,0.8,2.9
5,Goa,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.3,0.2,2,0.2,0,6,0.5,0
6,Gujarat,430.9,25,0.1,4.9,6,0,5.9,20,0,10.2,17,0,4.6,20,0,8.1,21,0,2.6,89,0.2,3.5,1451,3.4,7.2,1649,3.8,6.6
7,Haryana,173.4,3,0,0.6,0,0,0,0,0,0,3,0,0.8,6,0,2.4,11,0.1,1.4,4,0,0.2,25,0.1,0.1,52,0.3,0.2
8,Himachal Pradesh,54,2,0,0.4,0,0,0,0,0,0,3,0.1,0.8,6,0.1,2.4,6,0.1,0.8,19,0.4,0.8,30,0.6,0.1,66,1.2,0.3
9,Jammu & Kashmir,81.3,0,0,0,0,0,0,0,0,0,1,0,0.3,1,0,0.4,0,0,0,0,0,0,16,0.2,0.1,18,0.2,0.1
10,Karnataka,466.7,11,0,2.2,0,0,0,0,0,0,1,0,0.3,8,0,3.3,18,0,2.3,497,1.1,19.6,367,0.8,1.8,902,1.9,3.6
11,Kerala,300.7,2,0,0.4,0,0,0,1,0,0.5,9,0,2.4,0,0,0,25,0.1,3.1,16,0.1,0.6,424,1.4,2.1,477,1.6,1.9
12,Madhya Pradesh,694.1,64,0.1,12.5,8,0,7.9,11,0,5.6,33,0,8.9,38,0.1,15.4,262,0.4,32.8,121,0.2,4.8,3153,4.5,15.6,3690,5.3,14.8
13,Maharashtra,826.3,23,0,4.5,5,0,4.9,10,0,5.1,9,0,2.4,12,0,4.9,38,0,4.8,621,0.8,24.5,605,0.7,3,1323,1.6,5.3
14,Manipur,19.4,1,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,2,0.1,0
15,Meghalaya,18.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.4,0,0,0,0,0,0,2,0.1,0,3,0.2,0
16,Mizoram,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,330.6,5,0,1,0,0,0,4,0,2,6,0,1.6,4,0,1.6,5,0,0.6,16,0,0.6,173,0.5,0.9,213,0.6,0.9
19,Punjab,210.1,1,0,0.2,0,0,0,0,0,0,0,0,0,6,0,2.4,4,0,0.5,1,0,0,2,0,0,14,0.1,0.1
