SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to total Cases for Investigation in which - Investigation was Refused (Col. 3),Percentage of Cases to total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of fact or Law Etc. (Col. 4),Percentage of Cases to total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to total Cases for Investigation in which - Investigation was Completed - Chargesheets were Laid (Col. 6),Percentage of Cases to total Cases for Investigation in which - Investigation was Completed - Total (Col. 4+5+6) (Col. 7),Percentage of Cases Pending Investigation (Col. 8),Chargesheeting Rate (Col. 9)
1,Murder,0.2,2.2,11.7,50.6,64.5,35.3,81.3
2,Attempt to Commit Murder,0.2,3.5,9.2,58.7,71.4,28.4,86.5
3,C.H. Not Amounting to Murder,0.2,2.3,9.3,51,62.6,37.2,84.6
4,Rape,0.2,5.4,4.5,61.8,71.6,28.2,93.2
5,Kidnapping & Abduction,0.4,14.7,11.9,38.7,65.2,34.4,76.5
5,I) Of Womens & Girls,0.4,15.9,11.4,38.5,65.8,33.8,77.2
5,II) Of Others,0.3,12.2,12.9,38.9,64,35.7,75.2
6,Dacoity,0.2,3.4,19.3,26.8,49.5,50.3,58
7,Preparation & Assembly for Dacoity,0,0.1,8.7,55,63.8,36.2,86.3
8,Robbery,0.1,7.2,25.9,34.4,67.6,32.3,57
9,Burglary,0.2,3.8,46,28.5,78.3,21.5,38.2
10,Theft,0.3,3.9,42.9,31.3,78.2,21.5,42.2
11,Riots,0.3,10,7.5,55.8,73.3,26.4,88.2
12,Criminal Breach of Trust,0.7,9.1,14.5,35.2,58.7,40.6,70.8
13,Cheating,0.7,13.9,14.2,32.2,60.3,38.9,69.4
14,Counterfeiting,1,1.7,39,8.9,49.5,49.5,18.5
15,Other IPC Crimes,0.4,5.4,8.9,67.2,81.5,18.1,88.3
16,Total Cognizable Crimes Under IPC,0.4,5.5,18.7,53.4,77.6,22,74.1
