SL. No.,Crime Head,1993,1994,Percentage Variation in 1994 Over 1993,Percentage Share of Crime During 1994
1,Arms Act,688343,62839,-8.1,1.4
2,Narcotic Drugs & Psy. Substances Act,23061,23365,1.3,0.5
3,Gambling Act,332866,321000,-3.6,7.1
4,Excise Act,101677,102462,0.8,2.3
5,Prohibition Act,609218,647350,6.3,14.2
6,Explosive & Explosive Subs. Act,7309,5498,-24.8,0.1
7,Immoral Traffic (Prevention) Act,15122,13864,-8.3,0.3
8,Indian Railways Act,26729,35061,31.2,0.8
9,Registration of Foreigners Act,3449,2759,-17.6,0.1
10,Protection Of Civil Rights Act,10392,9643,-7.2,0.2
11,Indian Passport Act,2638,1094,-58.5,0
12,Essential Commodities Act,8338,5752,-31,0.1
13,Terrorist & Disruptive Actvites Act,3570,2826,-20.8,0.1
14,Antiquity & Art Treasure Act,42,66,57.1,0
15,Dowry Prohibition Act,6107,6611,8.3,0.1
16,Other SLL Crimes,3243189,3308894,2,72.7
17,Total Cognizable Crimes Under SLL,4461950,4549084,2,100
