SL. No.,Crime Head,1984,1989,1990,1991,1992,1993,Quinquennial Avg. 1989-1993(Q.A),1994,Percentage Change in 1994** [(+) Increase/ (-) Decrease] Over 1984,Percentage Change in 1994** [(+) Increase/ (-) Decrease] Over Q.A.,Percentage Change in 1994** [(+) Increase/ (-) Decrease] Over 1993
1,Murder,1186,496,377,348,292,297,362,288,-75.7,-20.4,-3
2,Attempt to Commit Murder,*,255,218,171,177,182,201,166,NA,-17.2,-8.8
3,C.H. Not Amounting to Murder,121,52,38,24,19,15,30,19,-84.3,-35.8,26.7
4,Rape,473,263,184,189,158,168,192,176,-62.8,-8.5,4.8
5,Kidnapping & Abduction,523,179,92,141,79,184,135,95,-81.8,-29.6,-48.4
5,I) Of Womens & Girls,*,142,83,133,62,140,112,51,NA,-54.5,-63.6
5,II) Of Others,*,37,9,8,17,44,23,44,NA,91.3,0
6,Dacoity,391,136,116,52,51,51,81,32,-91.8,-60.6,-37.3
7,Preparation & Assembly for Dacoity,*,15,9,9,2,5,8,23,NA,187.5,360
8,Robbery,807,258,185,164,87,98,158,49,-93.9,-69.1,-50
9,Burglary,5030,1231,1764,1553,1464,1138,1610,1294,-74.3,-19.6,13.7
10,Theft,11449,4470,3778,4638,3203,2404,3699,2346,-79.5,-36.6,-2.4
11,Riots,7009,1916,1525,1270,906,1023,1328,637,-90.9,-52,-37.7
12,Criminal Breach of Trust,214,47,104,21,21,15,42,17,-92.1,-59.1,13.3
13,Cheating,207,78,47,47,46,63,56,24,-88.4,-57.3,-61.9
14,Counterfeiting,88,4,0,2,0,1,1,3,-96.6,114.3,200
15,Other IPC Crimes,15305,8157,6793,3959,4595,3821,5465,3392,-77.8,-37.9,-11.2
16,Total Cognizable Crimes Under IPC,42803,18457,15230,12588,11100,9465,13368,8561,-80,-36,-9.6
