SL. No.,State/UT,Rape (Below 16 Years) - I,Rape (Below 16 Years) - P,Infanticide - I,Infanticide - P,Foeticide - I,Foeticide - P,Abetment of Suicide - I,Abetment of Suicide - P,Exposure & Abanddonment - I,Exposure & Abanddonment - P,Kidnapping & Abduction - I,Kidnapping & Abduction - P,Procuration of Minor Girls - I,Procuration of Minor Girls - P,Selling of Girls for Prostitution - I,Selling of Girls for Prostitution - P,Buying of Girls for Prostitution - I,Buying of Girls for Prostitution - P,Child Marriage Restraint Act - I,Child Marriage Restraint Act - P,Total - I,Total - P
1,Andhra Pradesh,360,9,10,7.6,1,2.2,0,0,0,0,46,5.3,2,1,8,23.5,0,0,0,0,427,7.3
2,Arunachal Pradesh,17,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.3
3,Assam,142,3.6,0,0,0,0,0,0,0,0,12,1.4,19,9.2,2,5.9,0,0,1,1.9,176,3
4,Bihar,213,5.4,23,17.6,0,0,0,0,0,0,77,8.9,69,33.5,5,14.7,0,0,9,17,396,6.8
5,Goa,3,0.1,1,0.8,0,0,0,0,1,0.2,1,0.1,0,0,0,0,0,0,0,0,6,0.1
6,Gujarat,113,2.8,4,3.1,6,13.3,1,14.3,43,8.8,98,11.3,27,13.1,0,0,0,0,20,37.7,312,5.4
7,Haryana,119,3,2,1.5,0,0,0,0,4,0.8,26,3,6,2.9,0,0,0,0,2,3.8,159,2.7
8,Himachal Pradesh,39,1,0,0,0,0,0,0,7,1.4,22,2.5,2,1,0,0,0,0,5,9.4,75,1.3
9,Jammu & Kashmir,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.1
10,Karnataka,99,2.5,1,0.8,0,0,0,0,5,1,7,0.8,4,1.9,0,0,0,0,1,1.9,117,2
11,Kerala,62,1.6,1,0.8,0,0,0,0,1,0.2,7,0.8,3,1.5,0,0,0,0,3,0,77,1.3
12,Madhya Pradesh,809,20.3,21,16,17,37.8,3,42.9,97,19.8,61,7.1,10,4.9,1,2.9,0,0,3,1.9,1022,17.6
13,Maharashtra,491,12.3,49,37.4,17,37.8,1,14.3,287,58.5,102,11.8,45,21.8,1,2.9,1,25,5,5.7,999,17.2
14,Manipur,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,1,0
15,Meghalaya,7,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,7,0.1
16,Mizoram,17,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0.3
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,1,0
18,Orissa,80,2,9,6.9,0,0,0,0,4,0.8,30,3.5,4,1.9,0,0,0,0,0,0,127,2.2
19,Punjab,42,1.1,4,3.1,0,0,0,0,0,0,8,0.9,0,0,0,0,0,0,0,0,54,0.9
20,Rajasthan,205,5.2,4,3.1,4,8.9,2,28.6,14,2.9,3,0.3,1,0.5,0,0,0,0,3,5.7,236,4.1
21,Sikkim,4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1
22,Tamil Nadu,32,0.8,1,0.8,0,0,0,0,1,0.2,7,0.8,1,0.5,0,0,0,0,0,0,42,0.7
23,Tripura,13,0.3,0,0,0,0,0,0,0,0,2,0.2,1,0.5,0,0,0,0,0,0,16,0.3
24,Uttar Pradesh,538,13.5,0,0,0,0,0,0,4,0.8,170,19.7,5,2.4,0,0,0,0,1,1.9,718,12.4
25,West Bengal,359,9,0,0,0,0,0,0,0,0,53,6.1,6,2.9,1,2.9,3,75,0,0,422,7.3
Total (States),Total (States),3370,94.8,130,99.2,45,100,7,100,468,95.3,732,84.7,206,100,18,52.9,4,100,53,100,5433,93.5
26,A & N Islands,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,Chandigarh,3,0.1,0,0,0,0,0,0,1,0.2,2,0.2,0,0,0,0,0,0,0,0,6,0.1
28,D & N Haveli,1,0,0,0,0,0,0,0,0,0,3,0.3,0,0,0,0,0,0,0,0,4,0.1
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Delhi,200,5,1,0.8,0,0,0,0,22,4.5,123,14.2,0,0,15,44.1,0,0,0,0,361,6.2
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,3,0.1,0,0,0,0,0,0,0,0,4,0.5,0,0,1,2.9,0,0,0,0,8,0.1
Total (UTs),Total (UTs),208,5.2,1,0.8,0,0,0,0,23,4.7,132,15.3,0,0,16,47.1,0,0,0,0,380,6.5
Total (All -India),Total (All -India),3978,100,131,100,45,100,7,100,491,100,864,100,206,100,34,100,4,100,53,100,5813,100
