SL. No.,State/UT,Total No. of Persons Under Arrest* Including those from Previous Year,Number of Persons Released Before Trial,Number of Persons Chargesheeted,Number of Persons under Investigation at the End* of the Year,Pendency Percentage,Pendency of Percentage to All-India Total
1,Andhra Pradesh,703203,884,669682,32637,4.6,12.6
2,Arunachal Pradesh,135,18,73,44,32.6,0
3,Assam,13630,988,3074,9568,70.2,3.7
4,Bihar,20278,827,16725,2726,13.4,1.1
5,Goa,2542,16,2288,238,9.4,0.1
6,Gujarat,327513,541,276524,50448,15.4,19.5
7,Haryana,37268,42,31493,5733,15.4,2.2
8,Himachal Pradesh,8019,121,5869,2029,25.3,0.8
9,Jammu & Kashmir,2224,271,1205,748,33.6,0.3
10,Karnataka,730951,2789,725696,2466,0.3,1
11,Kerala,19119,2752,13995,2372,12.4,0.9
12,Madhya Pradesh,270995,413,266722,3860,1.4,1.5
13,Maharashtra,532162,1848,489544,40770,7.7,15.7
14,Manipur,5466,886,3556,1024,18.7,0.4
15,Meghalaya,561,3,23,328,58.5,0.1
16,Mizoram,1685,0,1646,39,2.3,0
17,Nagaland,1084,69,706,309,28.5,0.1
18,Orissa,10908,13,10890,5,0,0
19,Punjab,27798,450,20386,6962,25,2.7
20,Rajasthan,29455,65,28393,997,3.4,0.4
21,Sikkim,495,15,462,18,3.6,0
22,Tamil Nadu,1091027,221662,811449,57916,5.3,22.4
23,Tripura,269,62,127,80,29.7,0
24,Uttar Pradesh,336736,7447,318260,11029,3.3,4.3
25,West Bengal,645493,5985,617163,22345,3.5,8.6
Total (States),Total (States),4819016,248167,4316158,254691,5.3,98.3
26,A & N Islands,1796,0,1532,264,14.7,0.1
27,Chandigarh,118,2,95,21,17.8,0
28,D & N Haveli,46,0,38,8,17.4,0
29,Daman & Diu,14,0,9,5,35.7,0
30,Delhi,21590,819,16742,4029,18.7,1.6
31,Lakshadweep,1,0,1,0,0,0
32,Pondicherry,7425,0,7374,51,0.7,0
Total (UTs),Total (UTs),30990,821,25791,4378,14.1,1.7
Total (All -India),Total (All -India),4850006,248988,4341949,259069,5.3,100
