SL. No.,State/UT,Estimated Mid-Year Population (In Lakhs),Murder - Incidence,Murder - Rate,Murder - Percentage Contribution to All-India,Dacoity - Incidence,Dacoity - Rate,Dacoity - Percentage Contribution to All-India,Robbery - Incidence,Robbery - Rate,Robbery - Percentage Contribution to All-India,Arson - Incidence,Arson - Rate,Arson - Percentage Contribution to All-India,Kidnapping & Abduction - Incidence,Kidnapping & Abduction - Rate,Kidnapping & Abduction - Percentage Contribution to All-India,Rape - Incidence,Rape - Rate,Rape - Percentage Contribution to All-India,Protection of Civil Rights Act - Incidence,Protection of Civil Rights Act - Rate,Protection of Civil Rights Act - Percentage Contribution to All-India,Others - Incidence,Others - Rate,Others - Percentage Contribution to All-India,Total - Incidence,Total - Rate,Total - Percentage Contribution to All-India
1,Andhra Pradesh,681.3,12,0,11.7,1,0,12.5,0,0,0,2,0,4.3,4,0,6.5,8,0,2.4,20,0,8.1,52,0.1,1.5,99,0.1,2.3
2,Arunachal Pradesh,8.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,1,0.1,0
3,Assam,230.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,889.8,4,0,3.9,0,0,0,2,0,10.5,5,0,10.6,5,0,8.1,6,0,1.8,2,0,0.8,251,0.3,7.2,275,0.3,6.4
5,Goa,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gujarat,423.3,13,0,12.6,2,0,25,0,0,0,2,0,4.3,10,0,16.1,29,0.1,8.7,2,0,0.8,212,0.5,6.1,270,0.6,6.3
7,Haryana,169.7,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,Himachal Pradesh,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Jammu & Kashmir,79.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,459.5,1,0,1,1,0,12.5,0,0,0,0,0,0,1,0,1.6,0,0,0,40,0.1,16.1,13,0,0.4,56,0.1,1.3
