SL. No.,Year,Estimated Mid-year Population* (In Lakhs)**,Incidence IPC,Incidence SLL,Incidence Total,Rate IPC,Rate SLL,Rate Total,Percentage of IPC Crimes Total Cognizable Crimes
1,1984,7356,1358660,2916808,4275468,184.7,396.5,581.2,31.8
2,1985,7509,1384731,3096481,4481212,184.4,412.4,596.8,30.9
3,1986,7661,1405835,2984654,4390489,183.5,389.6,573.1,32
4,1987,7814,1406992,3589326,4996318,180.1,459.3,639.4,28.2
5,1988,7966,1440356,3765669,5206025,180.8,472.7,653.5,27.7
6,1989,8118,1529844,3847665,5377509,188.5,474,662.4,28.4
7,1990,8270,1604449,3293563,4898012,194,398.3,592.3,32.8
8,1991,8496,1678375,3370971,5049346,197.5,396.8,594.3,33.2
9,1992,8677,1689341,3558448,5247789,194.7,410.1,604.8,32.2
10,1993,8838,1629936,3803638,5433574,184.4,430.4,614.8,30
11,1994,9000,1635251,3876994,5512245,181.7,430.8,612.5,29.7
12,Percentage Change in 1994 Over 1984,22.3,20.4,32.9,28.9,-1.6,8.6,5.4,-6.6
13,Compound Growth Rate Per Annum,2.1,2.4,2.3,2.3,0.3,0.3,0.3,0
