SL. No.,State/UT,Incidence,Percentage Contribution to All-India Total,Estimated Mid-Year Population (In Lakhs),Rate**,Rate*
1,Andhra Pradesh,1202,3.5,705.3,1.7,13
2,Arunachal Pradesh,0,0,9.4,0,NA
3,Assam,0,0,241.1,0,NA
4,Bihar,789,2.3,929.3,0.8,16
5,Goa,2,0,12.5,0.2,19
6,Gujarat,1936,5.7,438.5,4.4,5
7,Haryana,66,0.2,177.1,0.4,17
8,Himachal Pradesh,82,0.2,55.1,1.5,14
9,Jammu & Kashmir,14,0,83.2,0.2,18
10,Karnataka,957,2.8,473.7,2,8
11,Kerala,657,1.9,304.9,2.2,7
12,Madhya Pradesh,3745,11,707.8,5.3,3
13,Maharashtra,1475,4.4,842.7,1.8,12
14,Manipur,2,0,19.8,0.1,20
15,Meghalaya,0,0,19.2,0,NA
16,Mizoram,0,0,7.7,0,NA
17,Nagaland,1,0,13.4,0.1,21
18,Orissa,497,1.5,336.6,1.5,15
19,Punjab,9,0,213.1,0,23
20,Rajasthan,4797,14.1,472.5,10.2,2
21,Sikkim,21,0.1,4.5,4.7,4
22,Tamil Nadu,1449,4.3,577.4,2.5,6
23,Tripura,0,0,29.8,0,NA
24,Uttar Pradesh,16166,47.7,1476,11,4
25,West Bengal,1,0,720.8,0,24
Total (States),Total (States),33868,99.9,8871.4,3.8,NA
26,A & N Islands,0,0,3.2,0,NA
27,Chandigarh,14,0,7.4,1.9,10
28,D & N Haveli,3,0,1.5,2,9
29,Daman & Diu,0,0,1.1,0,NA
30,Delhi,7,0,105.9,0.1,22
31,Lakshadweep,0,0,0.6,0,NA
32,Pondicherry,16,0,8.6,1.9,11
Total (UTs),Total (UTs),40,0.1,128.3,0.3,NA
Total (All -India),Total (All -India),33908,100,8999.7,3.8,NA
