SL. No.,Crime Head,Incidence - 1984,Rate - 1984,Incidence - 1989,Rate - 1989,Incidence - 1990,Rate - 1990,Incidence - 1991,Rate - 1991,Incidence - 1992,Rate - 1992,Incidence - 1993,Rate - 1993,Incidence - Quinquennial Avg. 1989-1993 (Q.A.),Rate - Quinquennial Avg. 1989-1993 (Q.A.),Incidence - 1994,Rate - 1994,Percentage change in 1994 [(+) Increase/(-) Decrease] Over 1984,Percentage change in 1994 [(+) Increase/(-) Decrease] Over Q.A.,Percentage change in 1994 [(+) Increase/(-) Decrease] Over 1993
1,Murder,25786,3.5,31222,3.8,35045,4.2,39174,4.6,40105,4.6,38240,4.3,36757,4.3,38577,4.3,49.6,5,0.9
2,Attempt to Commit Murder,NA,NA,23748,2.9,27095,3.3,29778,3.5,31202,3.6,29725,3.4,28310,3.3,30020,3.3,NA,6,1
3,C.H. Not Amounting to Murder,4093,0.6,4100,0.5,4281,0.5,4243,0.5,4621,0.5,3890,0.4,4227,0.5,3946,0.4,-3.6,-6.6,1.4
4,Rape,6740,0.9,9752,1.2,10068,1.2,10410,1.2,11708,1.3,12218,1.4,10831,1.3,13208,1.5,96,21.9,8.1
5,Kidnapping & Abduction,15141,2.1,17318,2.1,18474,2.2,20079,2.4,20518,2.4,19830,2.2,19244,2.3,20983,2.3,38.6,9,5.8
5,I) Of Womens & Girls,*,NA,14169,1.7,14446,1.7,14283,1.7,13996,1.6,14058,1.6,14190,1.7,14075,1.6,NA,-0.8,0.1
5,II) Of Others,*,NA,3149,0.4,4028,0.5,5796,0.7,6522,0.8,5772,0.7,5053,0.6,6908,0.8,NA,36.7,19.7
6,Dacoity,12301,1.7,9896,1.2,11089,1.3,10831,1.3,11308,1.3,9357,1.1,10496,1.2,9271,1,-24.6,-11.7,-0.9
7,Preparation & Assembly for Dacoity,NA,NA,1015,0.1,1286,0.2,1393,0.2,1297,0.1,1102,0.1,1219,0.1,946,0.1,NA,-22.4,-14.2
8,Robbery,23204,3.2,22480,2.8,25440,3.1,26428,3.1,26444,3,24354,2.8,25029,3,23933,2.7,3.1,-4.4,-1.7
9,Burglary,136272,18.5,129020,15.9,131331,15.9,132087,15.5,127281,14.7,123020,13.9,128548,15.2,121536,13.5,-10.8,-5.5,-1.2
10,Theft,330669,45,341240,42,353191,42.7,362928,42.7,350582,40.4,320434,36.3,345675,40.8,303564,33.7,-8.2,-12.2,-5.3
11,Riots,101460,13.8,98943,12.2,102846,12.4,105309,12.4,104749,12.1,93838,10.6,101137,11.9,94344,10.5,-7,-6.7,0.5
12,Criminal Breach of Trust,18428,2.5,17541,2.2,16552,2,17495,2.1,17925,2.1,17039,1.9,17310,2,16523,1.8,-10.3,-4.5,-3
13,Cheating,19077,2.6,23691,2.9,24466,3,27466,3.2,29397,3.4,30079,3.4,27020,3.2,31207,3.5,63.6,15.5,3.8
14,Counterfeiting,1118,0.2,2075,0.3,2576,0.3,4467,0.5,5133,0.6,3728,0.4,3596,0.4,2851,0.3,155,-20.7,-23.5
15,Other IPC Crimes,664371,90.3,797803,98.3,840709,101.7,886287,104.3,907071,104.5,903082,102.2,866990,102.2,924342,102.7,39.1,6.6,2.4
16,Total Cognizable Crimes Under IPC,1358660,184.7,1529844,188.5,1604449,194,1678375,197.5,1689341,194.7,1629936,184.4,1626389,191.8,1635251,181.7,20.4,0.5,0.3
