SL. No.,State/UT/City,Murder,Attempt to Commit Murder,C.H. Not Amounting to Murder,Rape,Kidnapping & Abduction Total,Kidnapping & Abduction Of Women & Girls,Kidnapping & Abduction Of Others,Dacoity,Preparation & Assembly for Dacoity,Robbery,Burglary,Theft,Riots,Criminal Breach of Trust,Cheating,Counterfeiting,Other IPC Crimes,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,10,6,2,14,2,2,0,3,0,1,99,170,28,0,1,0,125,461
2,Arunachal Pradesh,0,1,0,0,0,0,0,1,0,0,7,1,1,0,0,0,0,11
3,Assam,11,0,0,1,1,1,0,1,0,1,31,72,11,0,0,0,21,150
4,Bihar,42,21,2,32,45,5,40,15,22,3,78,230,195,0,1,0,225,911
5,Goa,0,0,0,0,0,0,0,0,0,0,2,13,6,0,0,0,9,30
6,Gujarat,22,16,0,6,8,7,1,3,0,3,120,243,59,6,2,0,535,1023
7,Haryana,19,12,3,10,0,0,0,0,0,3,35,26,10,0,0,0,98,216
8,Himachal Pradesh,1,0,0,0,0,0,0,0,0,0,10,7,7,1,0,0,36,62
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7
10,Karnataka,4,1,0,3,0,0,0,0,0,2,24,52,12,0,3,0,34,135
11,Kerala,1,1,1,0,0,0,0,0,0,0,12,5,9,0,0,0,15,44
12,Madhya Pradesh,92,5325,2,52,10,10,0,2,1,11,252,298,81,5,0,0,1166,2025
13,Maharashtra,46,0,2,22,9,8,1,7,0,12,311,647,103,3,8,1,761,1957
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,16
16,Mizoram,0,0,0,2,0,0,0,0,0,0,14,45,0,0,0,0,50,111
17,Nagaland,0,0,0,0,0,0,0,0,0,2,10,7,0,0,0,0,8,27
18,Orissa,1,0,0,1,0,0,0,0,0,0,37,69,1,0,0,0,22,131
19,Punjab,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5
20,Rajasthan,18,20,0,20,15,15,0,0,0,8,127,80,104,1,4,0,203,600
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,9,0,0,0,0,0,0,0,0,0,86,228,1,0,0,0,12,336
23,Tripura,1,1,0,0,0,0,0,0,0,0,0,7,4,0,0,1,6,20
24,Uttar Pradesh,5,3,0,5,0,0,0,0,0,0,6,18,2,0,0,0,17,56
25,West Bengal,1,0,2,0,0,0,0,0,0,0,0,9,2,1,0,0,0,15
Total (States),Total (States),283,160,15,170,90,48,42,32,23,46,1263,2241,636,17,19,2,3353,8350
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,5
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,1,16
28,D & N Haveli,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
29,Daman & Diu,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3
30,Delhi,5,6,4,4,4,2,2,0,0,3,19,85,1,0,5,1,33,170
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,1,1,1,0,0,0,0,3,8,0,0,0,0,2,15
Total (UTs),Total (UTs),5,6,4,6,5,3,2,0,0,3,31,105,1,0,5,1,39,211
Total (All -India),Total (All -India),288,166,19,176,95,51,44,32,23,49,1294,2346,637,17,24,3,3392,561
33,Ahmedabad,2,0,0,1,1,1,0,1,0,1,10,64,10,0,0,0,101,191
34,Bangalore,2,3,0,2,0,0,0,0,0,3,39,73,1,0,0,0,15,138
35,Bhopal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Bombay,7,0,0,5,4,4,0,1,0,0,31,94,4,2,3,1,74,226
37,Calcutta,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,4
38,Coimbatore,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,4,11
39,Delhi,5,6,4,4,4,2,2,0,0,3,19,85,1,0,5,1,33,170
40,Hyderabad,1,0,0,0,0,0,0,0,0,0,34,36,0,0,0,0,0,71
41,Indore,0,0,0,2,0,0,0,0,0,0,11,14,0,0,0,0,35,62
42,Jaipur,1,2,0,1,0,0,0,0,0,0,8,16,4,0,0,0,14,46
43,Kanpur,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
44,Kochi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Lucknow,0,0,0,1,0,0,0,0,0,0,2,8,0,0,0,0,2,13
46,Ludhiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Madras,0,0,0,0,0,0,0,0,0,0,7,59,0,0,0,0,0,66
48,Madurai,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,0,0,27
49,Nagpur,0,0,0,0,0,0,0,0,0,0,16,23,1,0,0,0,36,76
50,Patna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Pune,2,0,0,3,0,0,0,1,0,1,56,67,5,0,0,0,10,145
52,Surat,1,0,0,0,1,1,0,0,0,1,9,10,3,1,0,0,8,34
53,Vadodara,1,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0,13,25
54,Varanasi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Vishakhapatnam,1,0,1,1,0,0,0,0,0,0,21,27,0,0,0,0,3,54
