SL. No.,State/UT,Total No. of Persons Under Arrest* Including those from Previous Year,Number of Persons Released Before Trial,Number of Persons Chargesheeted,Number of Persons under Investigation at the End of the Year,Pendency Percentage,Pendency of Percentage to All-India Total
1,Andhra Pradesh,190168,6736,141411,42021,22.1,8.1
2,Arunachal Pradesh,2957,563,1696,698,23.6,0.1
3,Assam,91456,20928,31151,39377,43.1,7.6
4,Bihar,311953,18131,227933,65889,21.1,12.7
5,Goa,5439,824,3752,863,15.9,0.2
6,Gujarat,177997,1299,155122,21576,12.1,4.1
7,Haryana,53564,107,50073,3384,6.3,0.7
8,Himachal Pradesh,20366,469,16533,3364,16.5,0.6
9,Jammu & Kashmir,16330,197,15681,452,2.8,0.1
10,Karnataka,182079,12803,143755,25521,14,4.9
11,Kerala,159199,4792,116644,37763,23.7,7.3
12,Madhya Pradesh,280794,2744,273645,4405,1.6,0.8
13,Maharashtra,297902,6914,260133,30855,10.4,5.9
14,Manipur,3857,2166,314,1377,23.7,0.3
15,Meghalaya,4379,914,1485,1953,44.6,0.4
16,Mizoram,2551,0,2154,397,15.6,0.1
17,Nagaland,2978,837,1137,1004,33.7,0.2
18,Orissa,82584,322,81630,632,0.8,0.1
19,Punjab,24419,956,14638,8825,36.1,1.7
20,Rajasthan,193037,170,156652,36215,18.8,7
21,Sikkim,1133,157,373,603,53.2,0.1
22,Tamil Nadu,292741,31581,183731,77429,26.4,14.9
23,Tripura,9501,2609,2780,4112,43.3,0.8
24,Uttar Pradesh,351500,18031,297972,35497,10.1,6.8
25,West Bengal,213303,30280,114115,68908,32.3,13.2
Total (States),Total (States),2972187,164557,2294510,513120,17.3,98.6
26,A & N Islands,900,0,660,240,26.7,0
27,Chandigarh,2819,336,1873,610,21.6,0.1
28,D & N Haveli,695,1,637,57,8.2,0
29,Daman & Diu,444,5,301,138,31.1,0
30,Delhi,40839,1638,33444,5757,14.1,1.1
31,Lakshadweep,17,0,7,10,58.8,0
32,Pondicherry,3830,3,3617,210,5.5,0
Total (UTs),Total (UTs),49544,1983,40539,7022,14.2,1.4
Total (All -India),Total (All -India),3021731,166540,2335049,520142,17.2,100
