SL. No.,Heads of Crime,Incidence - 1960,Volume - 1960,Incidence - 1965,Volume - 1965,Incidence - 1966,Volume - 1966,Incidence - 1967,Volume - 1967,Incidence - 1968,Volume - 1968,Incidence - 1969,Volume - 1969,Quinquennial Average 1965-1969 (Q.A.),Incidence - 1970,Volume - 1970,"Percentage Variation (+) Increase, (-) Decrease - Over - 1960","Percentage Variation (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation (+) Increase, (-) Decrease - Over - 1969"
1,Total Cognizable Crime,606367,140.5,751615,154.4,794733,159.4,881981,172.7,862016,164.7,845167,157.5,827102,955422,173.7,57.6,15.5,13
2,Murder,10910,2.5,12310,2.5,12631,2.5,13398,2.6,13841,2.6,14732,2.7,13382,15708,2.9,44,17.4,6.6
3,Kidnapping and Abduction,6024,1.4,7927,1.6,7874,1.6,8192,1.6,8847,1.7,8464,1.6,8261,10111,1.8,67.8,22.4,19.5
4,Dacoity,3981,0.9,4955,1,4817,1,6300,1.2,6357,1.2,6049,1.1,5696,9837,1.8,147.1,72.7,62.6
5,Robbery,6263,1.5,8067,1.7,8585,1.7,10252,2,10194,1.9,9922,1.8,9404,16958,3.1,170.8,80.3,70.9
6,House-breaking,114540,26.5,142015,29.2,150180,30.1,173575,34,156248,29.8,145429,27.1,153489,166339,30.2,45.2,8.4,14.4
7,Cattle Thefts,19222,4.5,22243,4.5,24103,4.8,26468,5.2,25568,4.9,22354,4.2,24147,22048,4,14.7,-8.69,-1.36
8,Ordinary Thefts,209620,48.6,251459,51.7,274598,54.9,313393,61.3,289945,55.3,277786,51.8,281436,315163,57.3,47.4,10.4,12.4
9,Riots,26890,6.2,32940,6.8,34696,7,42447,8.3,45811,8.7,55796,10.4,42338,68331,12.4,154.1,61.4,22.5
10,Criminal Breach of Trust,15862,3.7,21354,4.2,22353,4.5,23950,4.7,22410,4.2,21118,3.9,22237,22679,4.1,43,2,7.4
11,Cheating,9207,2.1,11935,2.5,11606,2.3,12701,2.5,12514,2.4,12001,2.2,12151,12331,2.2,33.9,1.5,2.7
12,Counterfeiting,554,0.1,436,0.1,655,0.1,1413,0.3,1425,0.3,739,0.1,934,650,0.2,17.3,-30.4,-12
13,Miscellaneous,183294,42.5,235974,48.5,242635,48.6,249892,48.8,268856,51.3,270777,50.5,253627,295267,53.7,61.1,16.4,9
