SL. No.,Category,States/U.Ts/Cities,Cases Pending Investigation from the Previous Year,Cases Pending Disposal in Courts,Cases Reported during the Year,Cases not Investigated Declared False and Mistake of Fact or Law and Non-Cognizable,Cases Pending Investigation at the End of the Year,Cases Pending Trial at the End of the Year,Total True Cases,Cases not Detected,Cases in which Chargesheets were laid,Cases Compounded or Withdrawn,Cases in which Trails were Completed,Cases Convicted,Cases Acquitted or Discharged,Percentage of Cases Convicted to True Cases Investigated,Percentage of Cases Convicted to Cases in which Trials were Completed,"Volume of Crime Per 100,000 of Population"
1,State,Andhra Pradesh,20,37,149,73,33,49,51,14,37,NA,37,14,23,27.45,37.84,0.34
2,State,Assam,207,326,511,197,280,330,237,88,149,NA,149,37,112,15.61,24.83,3.26
3,State,Bihar,302,709,581,163,311,838,280,93,187,34,153,72,81,25.71,47.06,1
4,State,Gujarat,50,152,246,45,46,146,211,40,171,5,166,40,126,18.96,24.1,0.92
5,State,Haryana,61,108,145,38,58,110,108,16,92,NA,92,25,67,23.15,27.17,1.44
6,State,Himachal Pradesh,28,51,57,21,21,55,39,3,36,1,35,12,23,30.77,34.28,1.57
7,State,Jammu & Kashmir,91,203,190,78,95,211,100,8,92,4,88,54,34,54,61.36,4.69
8,State,Kerala,22,29,75,36,18,23,49,8,41,3,38,5,33,10.2,13.16,0.35
9,State,Madhya Pradesh,191,796,970,19,257,1012,669,242,427,14,413,169,244,25.26,40.92,2.38
10,State,Maharashtra,157,404,543,75,179,451,399,112,287,2,277,141,136,35.34,50.9,1.08
11,State,Manipur,184,115,166,48,264,120,33,12,21,NA,21,6,15,18.18,28.57,14.82
12,State,Mysore,31,116,125,47,38,94,93,16,77,1,76,19,57,20.43,25,0.43
13,State,Nagaland,23,26,9,NA,15,26,17,2,15,NA,NA,NA,NA,NA,NA,2.08
14,State,Orissa,44,94,117,49,35,106,65,17,48,30,46,16,30,24.62,34.78,0.54
15,State,Punjab,144,207,301,NA,120,359,173,54,119,NA,119,40,79,23.12,33.61,2.03
16,State,Rajasthan,216,1020,1128,633,223,981,527,148,379,24,355,123,232,23.33,34.64,4.28
17,State,Tamil Nadu,46,39,297,172,67,40,103,9,94,NA,94,31,63,30.1,32.98,0.75
18,State,Tripura,5,4,24,4,5,9,15,2,13,NA,6,1,5,6.67,16.67,1.59
19,State,Uttar Pradesh,505,1732,3051,441,875,2122,1850,1241,609,10,599,239,360,12.91,39.89,3.35
20,State,West Bengal,378,423,863,236,506,408,514,289,225,17,208,71,137,13.81,34.13,1.92
Total (States),State,Total (States),2705,6591,9548,2375,3446,7490,5533,2414,3119,145,2972,1115,1857,20.15,37.52,1.75
21,UT,A & N Islands,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.08
22,UT,Chandigarh,8,2,16,12,4,2,8,3,5,NA,5,4,1,50,80,10.06
23,UT,D & N Haveli,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
24,UT,Delhi,128,142,531,200,168,259,174,106,68,NA,68,26,42,14.94,38.24,12.52
25,UT,"Goa, Daman & Diu",2,9,8,3,1,9,6,1,5,1,4,1,3,16.67,25,1.16
26,UT,Lakshadweep,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.57
27,UT,Pondicherry,1,1,6,4,1,1,2,NA,2,NA,2,2,NA,100,100,1.34
Total (UTs),UT,Total (UTs),140,154,563,219,175,272,191,111,80,1,79,33,46,17.28,41.77,9.82
Total (All-India),Total (All-India),Total (All-India),2845,6745,10111,2594,3621,7762,5724,2525,3199,146,3051,1148,1903,20.06,37.63,1.84
1,City,Ahmedabad,2,16,54,5,13,25,29,6,23,NA,23,8,15,27.59,34.78,3.32
2,City,Bangalore,3,5,20,6,6,3,13,4,9,NA,9,6,3,46.15,66.66,1.11
3,City,Bombay,53,60,178,13,74,69,135,44,91,NA,91,31,60,22.96,34.07,3.12
4,City,Calcutta,54,23,131,10,62,10,126,92,34,NA,34,27,7,21.43,79.41,4.15
5,City,Delhi,117,123,478,192,144,224,158,91,67,NA,67,25,42,15.82,37.31,12.25
6,City,Hyderabad,6,5,16,5,4,3,15,8,7,NA,7,4,3,26.67,57.14,1.16
7,City,Kanpur,18,69,154,24,35,101,81,60,21,NA,21,12,9,14.81,57.14,11.74
8,City,Madras,20,11,35,21,30,8,7,NA,7,NA,7,2,5,28.57,28.57,1.68
Total (Cities),City,Total (Cities),273,312,1066,276,368,443,564,305,259,NA,259,115,144,20.39,44.4,5.08
