SL. No.,Heads of Crime,Percentage of cases disposed of to total cases for investigation,"Percentage of Cases not Investigated or False, Mistake of Fact or Law or Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Chargesheeted were laid to Total Cases disposed of.
1,Total Cognizable Crime,83.6,13.4,37.2
2,Murder,73.7,4,65.9
3,Kidnapping & Abduction,72.1,20,34.3
4,Dacoity,63.9,14.3,29.5
5,Robbery,82,27.8,22.3
6,House-breaking,86.4,7.4,23.5
7,Cattle Thefts,NA,NA,NA
8,Ordinary Thefts,87.3,12.3,27.1
9,Riots,75.3,21.1,33.4
10,Criminal Breach of Trust,65.2,23,35.6
11,Cheating,67.7,14.4,39.8
12,Counterfeiting,52.6,10.3,27.7
