SL. No.,Heads of Crime,Number of Cases Reported during - 1960,Number of Cases Reported during - 1965,Number of Cases Reported during - 1966,Number of Cases Reported during - 1967,Number of Cases Reported during - 1968,Number of Cases Reported during - 1969,Quinquennial Average of 1965 to 1969,Number of Cases Reported during - 1970,Percentage Change Over - 1960,Percentage Change Over - Quinquennial Average (Q. A.),Percentage Change Over - 1969
1,Total Cognizable Crime,20165,20988,22077,22853,21385,21703,21801,27226,35,24.9,25.4
2,Murder,317,304,280,298,312,321,303,558,76,84.2,73.8
3,Kidnapping and Abduction,186,182,162,156,187,185,174,255,37.1,46.6,37.8
4,Dacoity,67,62,63,55,82,96,72,129,92.5,79.2,34.4
5,Robbery,117,112,125,182,170,147,147,244,108.5,66,66
6,House-breaking,2400,3338,3362,3872,2999,3412,3397,4093,70.5,20.5,20
7,Thefts,8646,8595,10144,10396,9415,9445,9599,10462,21,9,10.8
8,Riots,234,573,577,554,713,845,653,1888,706.8,189.1,123.4
9,Criminal Breach of Trust,208,231,234,255,218,243,236,220,5.8,-6.8,-9.5
10,Cheating,123,138,157,146,137,233,162,174,41.5,7.4,-25.3
11,Counterfeiting,3,1,1,4,1,NA,1,NA,-100,-100,NA
12,Miscellaneous,7864,7452,6972,6935,7151,6776,7057,9203,17,30.4,35.8
