SL. No.,Category,State/U.Ts./Cities,1965,1966,1967,1968,1969,Quinquennial Average of 1965 to 1969 (Q.A.),1970,"Percentage Variation (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation (+) Increase, (-) Decrease - Over - 1969","Volume of Crime Per One Lakh (100,000)of Population"
1,State,Andhra Pradesh,36250,35249,38303,39778,40153,37947,43942,15.8,9.4,101.44
2,State,Assam,20201,20708,22273,24462,24925,22514,25908,15.1,3.9,165.28
3,State,Bihar,67905,72699,86120,79899,75333,76391,84091,10.1,11.6,145.42
4,State,Gujarat,30700,31944,32604,32088,33129,32093,32225,0.4,-2.7,121.11
5,State,Haryana,NA,7398,8270,9108,8858,8408,8902,5.9,0.5,88.16
6,State,Himachal Pradesh,1538,2276,2542,2305,2278,2188,2381,8.8,4.5,65.68
7,State,Jammu & Kashmir,4083,4971,6142,5992,6131,5463,6421,17.5,4.7,158.54
8,State,Kerala,19720,19257,22210,27411,28492,23418,31617,35,11,148.14
9,State,Madhya Pradesh,77768,88476,102849,93488,86946,89905,83537,-7.1,-3.9,204.69
10,State,Maharashtra,86160,92756,98338,99105,92135,93699,96552,3,4.8,192.52
11,State,Manipur,1817,2279,2342,2396,2351,2237,2122,-5.1,-9.7,189.46
12,State,Mysore,28877,31991,32525,35441,35566,32880,35566,8.2,0,121.13
13,State,Nagaland,328,526,514,682,685,547,744,36,8.6,171.82
14,State,Orissa,27228,28491,30709,33537,31395,30272,31514,4.1,0.4,145.51
15,State,Punjab,19377,12667,13467,13003,12926,14288,12478,-12.7,-3.5,84.24
16,State,Rajasthan,30176,32962,34497,37001,34995,33926,36230,6.8,3.5,137.63
17,State,Tamil Nadu,60490,68019,68164,70487,69114,67255,63619,-5.4,-8,160.82
18,State,Tripura,2137,2197,2743,3419,3439,2787,2704,-3,-21.4,178.72
19,State,Uttar Pradesh,141985,143179,170698,154666,150712,152248,233754,53.5,55.1,256.93
20,State,West Bengal,74172,75933,84449,76193,82662,78682,84528,7.4,2.3,187.91
Total (States),State,Total (States),730912,773978,859759,840461,822225,807148,918835,13.8,11.7,168.83
21,UT,A & N Islands,285,301,340,309,338,315,308,-2.2,-8.9,331.18
22,UT,Chandigarh,NA,261,1538,1390,1510,1175,1484,26.3,-1.7,933.33
23,UT,Dadra & N. Haveli,81,89,66,73,106,83,106,27.7,0,145.21
24,UT,Delhi,17209,16934,17423,16937,17606,17222,31241,81.4,77.4,736.64
25,UT,"Goa, Daman & Diu",1988,1962,1841,1320,1336,1689,1195,-29.2,-10.6,173.69
26,UT,Lakshadweep,8,4,21,48,38,24,28,16.7,-26.3,100
27,UT,Pondicherry,1132,1204,993,1478,2008,1363,2225,63.2,10.8,495.54
Total (UTs),UT,Total (UTs),20703,20755,22222,21555,22942,21871,36587,67.3,59.5,638.4
Total (All-India),Total (All-India),Total (All-India),751615,794733,881981,862016,845167,829019,955422,15.2,13,173.72
1,City,Ahmedabad,3363,3179,2865,2832,3578,3163,3269,3.3,-9.1,200.8
2,City,Bangalore,4176,4820,5945,7266,8051,6052,7778,28.5,-3.4,429.96
3,City,Bombay,26791,28085,28891,27569,25289,27325,25763,-5.7,1.9,451.98
4,City,Calcutta,21030,20759,13185,11864,10801,15528,10588,-31.8,-2,335.17
5,City,Delhi,16216,15981,16358,15763,16254,16114,28890,79.3,77.7,740.39
6,City,Hyderabad,2805,2442,2795,3072,3593,2941,3470,18,-3.4,251.99
7,City,Kanpur,6698,6149,7093,6638,6703,6656,8656,30,29.1,659.76
8,City,Madras,7010,10659,11746,11297,11707,10484,10794,3,-7.8,517.45
Total (Cities),City,Total (Cities),88089,92074,88878,86301,85976,88263,99208,12.4,15.4,473.03
