SL. No.,Category,States/U.Ts/Cities,Year - 1969,Year - 1970,Percentage Variation in 1969 Over 1970
1,State,Andhra Pradesh,68865,65225,-5.3
2,State,Assam,50184,41269,-17.8
3,State,Bihar,111159,124579,12.1
4,State,Gujarat,45829,43900,-4.2
5,State,Haryana,12344,12438,0.8
6,State,Himachal Pradesh,3251,3575,10
7,State,Jammu & Kashmir,10304,9352,-9.2
8,State,Kerala,41987,56556,34.7
9,State,Madhya Pradesh,96239,101456,5.4
10,State,Maharashtra,93449,106461,13.9
11,State,Manipur,1996,4290,114.9
12,State,Mysore,51331,52199,1.7
13,State,Nagaland,832,1002,20.4
14,State,Orissa,41801,44668,6.9
15,State,Punjab,19187,20293,5.8
16,State,Rajasthan,45972,48171,4.8
17,State,Tamil Nadu,66283,65202,1.6
18,State,Tripura,3142,6158,96
19,State,Uttar Pradesh,139981,164706,17.7
20,State,West Bengal,115623,125723,8.7
Total (States),State,Total (States),1019759,1097223,7.6
21,UT,A & N Islands,235,419,78.3
22,UT,Chandigarh,697,808,15.9
23,UT,D & N Haveli,130,134,3.1
24,UT,Delhi,9859,12670,28.5
25,UT,"Goa, Daman & Diu",1520,1420,-6.6
26,UT,Lakshadweep,23,18,-21.7
27,UT,Pondicherry,2045,2389,16.8
Total (UTs),UT,Total (UTs),14509,17858,23.1
Total (All-India),Total (All-India),Total (All-India),1034268,1115081,7.8
1,City,Ahmedabad,4939,3538,-28.4
2,City,Bangalore,4833,5426,12.3
3,City,Bombay,20012,20597,2.9
4,City,Calcutta,16381,14546,-11.2
5,City,Delhi,8781,11242,28
6,City,Hyderabad,2594,2213,-14.7
7,City,Kanpur,3146,3149,0.1
8,City,Madras,7121,6851,-3.8
Total (Cities),City,Total (Cities),67807,67572,-0.3
