SL. No.,Category,States/UTs/Cities,Murder - 1969,Murder - 1970,Murder - Percentage Variation,Kidnapping & Abduction - 1969,Kidnapping & Abduction - 1970,Kidnapping & Abduction - Percentage Variation,Dacoity - 1969,Dacoity - 1970,Dacoity - Perentage Variation,Robbery - 1969,Robbery - 1970,Robbery - Percentage Variation,House Breaking - 1969,House Breaking - 1970,House Breaking - Percentage Variation,Cattle Thefts - 1969,Cattle Thefts - 1970,Cattle Thefts - Percentage Variation,Ordinary Thefts - 1969,Ordinary Thefts - 1970,Ordinary Thefts - Percentage Variation,Riots - 1969,Riots - 1970,Riots - Percentage Variation,Criminal Breach of Trust - 1969,Criminal Breach of Trust - 1970,Criminal Breach of Trust - Percentage Variation,Cheating - 1969,Cheating - 1970,Cheating - Percentage Variation,Counterfeiting - 1969,Counterfeiting - 1970,Counterfeiting - Percentage Variation
1,State,Andhra Pradesh,1060,1092,3.02,99,149,50.5,249,137,-44.98,189,190,0.53,5455,4919,-9.83,796,680,-14.57,10654,10714,0.56,3218,3388,5.28,606,655,8.09,275,378,37.45,37,17,-54.05
2,State,Assam,472,500,5.93,368,511,38.86,199,195,-2,232,240,3.45,3772,4382,16.17,570,540,-5.26,5752,6670,15.96,4192,3111,-25.79,343,408,18.95,240,291,21.25,11,8,-27.27
3,State,Bihar,1299,1523,17.24,498,581,16.67,1333,1626,21.98,923,1045,13.22,18886,20635,9.26,637,657,3.14,22669,25597,12.92,8384,10239,22.13,1317,1274,-3.26,584,493,-15.58,80,110,37.5
4,State,Gujarat,862,734,-14.85,239,246,2.93,106,56,-47.17,389,354,-9,4194,4188,-0.14,683,762,11.57,9948,9956,0.08,1356,484,-64.31,1150,971,-15.57,521,527,1.15,12,8,-33.33
5,State,Haryana,192,192,0,154,145,-5.84,10,12,20,12,23,91.67,1666,1715,2.94,401,346,-13.72,2246,2233,-0.58,101,107,5.94,278,278,0,209,168,-19.62,6,3,-50
6,State,Himachal Pradesh,26,42,61.53,63,57,-9.52,2,1,-50,22,28,27.27,388,366,-5.67,25,35,40,445,401,-9.88,47,49,4.25,121,85,-29.75,56,60,7.14,NA,NA,NA
7,State,Jammu & Kashmir,80,59,-26.25,186,190,2.15,24,12,-50,22,12,-45.45,1020,840,-17.65,163,199,22.09,937,1038,10.78,725,736,1.52,107,98,-8.41,99,79,-20.2,2,1,-50
8,State,Kerala,403,372,-7.69,97,75,-22.68,26,42,61.54,118,154,30.51,3283,3414,3.99,170,136,-20,4270,5259,23.16,3089,4269,38.2,543,381,-29.83,155,196,26.45,86,59,-31.4
9,State,Madhya Pradesh,1739,1725,-0.81,834,970,16.31,347,416,19.88,954,881,-7.65,18238,16430,-9.91,Combined with Ordinary Thefts,Combined with Ordinary Thefts,Combined with Ordinary Thefts,32633,30209,-7.43,2081,2170,4.28,1219,1110,-8.94,1217,1011,-16.93,41,19,-53.66
10,State,Maharashtra,1319,1356,2.81,515,543,5.44,305,391,28.2,1411,1532,8.58,13711,14497,5.73,1552,1625,4.7,40089,41053,2.4,1767,2043,15.62,3317,3030,-8.65,1824,1644,-9.87,79,57,-27.85
11,State,Manipur,53,51,-3.77,181,166,-8.29,23,10,-56.52,43,33,-23.26,204,175,-14.22,35,58,65.71,573,408,-28.8,240,311,29.58,74,52,-29.73,100,67,-33,NA,NA,NA
12,State,Mysore,731,694,-5.06,144,125,-13.19,78,81,3.85,131,136,3.82,6220,6193,-0.43,745,599,-19.6,10466,10089,-3.6,1563,1953,25.59,826,768,-7.02,731,530,-27.5,31,33,6.45
13,State,Nagaland,15,24,60,16,9,-43.75,9,13,44.44,25,23,-8,149,148,-0.67,4,1,-75,210,300,42.86,13,14,7.69,24,15,-37.5,13,9,-30.77,3,NA,-100
14,State,Orissa,415,389,-6.27,136,117,-13.97,122,104,-14.75,264,227,-14.02,6503,6832,5.06,803,717,-10.71,11627,11768,1.21,2021,1992,-1.43,631,589,-6.66,401,282,-29.68,16,3,-81.25
15,State,Punjab,576,574,-0.35,313,301,-3.83,3,NA,-100,18,28,55.56,1699,1524,-10.3,260,188,-27.69,2804,2696,-3.85,29,44,51.72,411,405,-1.46,256,277,8.2,19,6,-68.42
16,State,Rajasthan,669,655,-2.09,1105,1128,2.08,130,111,-14.61,859,863,0.46,6997,6827,-2.43,1910,1830,-4.18,7287,7399,1.53,3050,3381,10.85,756,762,0.79,702,766,9.11,16,10,-37.55
