Sr. No.,Category,States/UTs,No. of Police Personnel having Natural Death while in Service - 18-25 Years,No. of Police Personnel having Natural Death while in Service - 25-35 Years,No. of Police Personnel having Natural Death while in Service - 35-45 Years,No. of Police Personnel having Natural Death while in Service - 45-55 Years,No. of Police Personnel having Natural Death while in Service - Above 55 Years,No. of Police Personnel having Natural Death while in Service - Total,No. of Police Personnel Committed Suicide while in Service - 18-25 Years,No. of Police Personnel Committed Suicide while in Service - 25-35 Years,No. of Police Personnel Committed Suicide while in Service - 35-45 Years,No. of Police Personnel Committed Suicide while in Service - 45-55 Years,No. of Police Personnel Committed Suicide while in Service - Above 55 Years,No. of Police Personnel Committed Suicide while in Service - Total
1,State,Andhra Pradesh,4,32,86,158,31,311,0,3,1,1,0,5
2,State,Arunachal Pradesh,0,0,0,2,0,2,0,0,0,0,0,0
3,State,Assam,0,2,7,4,1,14,0,0,0,0,0,0
4,State,Bihar,1,5,56,186,18,266,0,1,0,1,0,2
5,State,Chhattisgarh,6,10,17,19,10,62,2,5,3,7,2,19
6,State,Goa,0,1,2,7,1,11,0,2,0,0,0,2
7,State,Gujarat,4,19,49,67,9,148,0,3,3,2,0,8
8,State,Haryana,2,12,28,41,4,87,0,1,3,0,0,4
9,State,Himachal Pradesh,0,2,8,6,0,16,0,0,0,0,0,0
10,State,Jammu & Kashmir,0,8,6,4,0,18,0,1,0,0,0,1
11,State,Jharkhand,2,7,7,18,8,42,0,5,1,7,5,18
12,State,Karnataka,5,13,35,69,21,143,1,3,0,1,0,5
13,State,Kerala,0,2,12,37,3,54,0,6,4,6,0,16
14,State,Madhya Pradesh,1,13,33,56,12,115,0,4,3,6,0,13
15,State,Maharashtra,0,30,120,169,17,336,1,9,20,15,0,45
16,State,Manipur,0,2,5,4,1,12,0,0,1,0,0,1
17,State,Meghalaya,0,6,7,10,0,23,0,0,2,0,0,2
18,State,Mizoram,0,4,12,2,2,20,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Orissa,0,3,4,10,0,17,0,2,0,1,0,3
21,State,Punjab,0,35,73,59,1,168,0,0,1,0,0,1
22,State,Rajasthan,2,13,30,43,6,94,0,1,1,2,1,5
23,State,Sikkim,0,2,1,5,0,8,0,0,0,0,0,0
24,State,Tamil Nadu,0,16,68,130,37,251,1,8,7,14,2,32
25,State,Tripura,0,0,6,11,3,20,0,0,0,0,1,1
26,State,Uttar Pradesh,1,9,55,38,15,118,0,1,1,2,1,5
27,State,Uttarakhand,0,2,6,7,3,18,0,0,0,0,0,0
28,State,West Bengal,1,9,29,94,88,221,0,1,2,4,2,9
State,State,Total (States),29,257,762,1256,291,2595,5,56,53,69,14,197
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,9,6,2,17,0,0,0,0,0,0
31,Union Territory,D & N Haveli,0,0,0,1,0,1,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,1,11,49,60,21,142,0,1,5,2,1,9
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,3,8,2,13,0,0,1,1,0,2
Union Territory,Union Territory,Total (UTs),1,11,61,75,25,173,0,1,6,3,1,11
Total (All-India),Total (All-India),Total (All-India),30,268,823,1331,316,2768,5,57,59,72,15,208
