Sr. No.,Crime Head,Total Count of Persons under Arrest* Including those from Previous Year,Persons Released before Trial - Count,Persons Released before Trial - Percentage to Total,Persons Charge Sheeted - Count,Persons Charge Sheeted - Percentage to Total,Persons under Investigation at the end of the Year - Count,Persons under Investigation at the end of the Year - Percentage to Total
1,"Murder (Sec 302, 303 IPC)",89158,3016,3.4,60394,67.7,25748,28.9
2,Attempt to Commit Murder (Sec 307 IPC),83521,2191,2.6,61118,73.2,20212,24.2
3,"C.H. Not Amounting Murder (Sec 304, 308 IPC)",9084,349,3.8,6281,69.1,2454,27
4,Rape (Sec 376 IPC),31073,1044,3.4,22230,71.5,7799,25.1
4,Rape (Sec 376 IPC) - Custodial Rape,3,0,0,2,0,1,0
4,Rape (Sec 376 IPC) - Other Rape,31070,1044,3.4,22228,71.5,7798,25.1
5,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Total",46242,3585,7.8,27865,60.3,14792,32
5,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - i) of Women & Girls",29153,2409,8.3,17632,60.5,9112,31.3
5,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - ii) of Others",17089,1176,6.9,10233,59.9,5680,33.2
6,Dacoity (Sec 395 - 398 IPC),30208,1673,5.5,16361,54.2,12174,40.3
7,Preparation & Assembly for Dacoity (Sec 399-402 IPC),18750,217,1.2,12292,65.6,6241,33.3
8,"Robbery (Sec 392-394, 397, 398 IPC)",41668,2085,5,25581,61.4,14002,33.6
9,"Burglary (Sec 449-452, 454, 455, 457-460 IPC)",83461,5947,7.1,59933,71.8,17581,21.1
10,Theft (Sec 379 - 382 IPC) - Total,250505,20305,8.1,174903,69.8,55297,22.1
10,Theft (Sec 379 - 382 IPC) - i) Auto Theft,56552,5312,9.4,37958,67.1,13282,23.5
10,Theft (Sec 379 - 382 IPC) - ii) Other Theft,193953,14993,7.7,136945,70.6,42015,21.7
11,"Riots (Sec 143-145, 147-151, 153, 153A., 153B, 157, 158, 160 IPC)",382237,12204,3.2,285895,74.8,84138,22
12,Criminal Breach of Trust (Sec 406-409 IPC),22869,1038,4.5,13715,60,8116,35.5
13,"Cheating (Sec 419, 420 IPC)",76596,3153,4.1,48184,62.9,25259,33
14,"Counterfeiting (Sec 231-254, 489A-489D IPC)",4554,137,3,2664,58.5,1753,38.5
15,"Arson (Sec 435, 436, 438 IPC)",17083,858,5,11547,67.6,4678,27.4
16,"Hurt (Sec 323-333, 335-338 IPC)",531503,17357,3.3,437802,82.4,76344,14.4
17,Dowry Deaths (Sec 304B IPC),24562,745,3,17737,72.2,6080,24.8
18,Molestation (Sec 354 IPC),51840,1292,2.5,42921,82.8,7627,14.7
19,Sexual Harassment (Sec 509 IPC),13804,154,1.1,12191,88.3,1459,10.6
20,Cruelty by Husband and Relatives (Sec 498A IPC),161217,4812,3,125277,77.7,31128,19.3
21,Importation of Girls (Sec 366B IPC),231,1,0.4,107,46.3,123,53.2
22,Causing Death by Negligence (Sec 304A IPC),81069,2373,2.9,63450,78.3,15246,18.8
23,Other IPC Crimes,1161330,31341,2.7,961720,82.8,168269,14.5
Total Cognizable Crimes under IPC,Total Cognizable Crimes under IPC,3212565,115877,3.6,2490168,77.5,606520,18.9
