Sr. No.,Category,States/ UTs,2005,2006,Percentage Variation in 2006 over 2005,Percentage Contribution to All-India Figures during 2006
1,State,Andhra Pradesh,216277,227935,5.4,8.6
2,State,Arunachal Pradesh,2488,2849,14.5,0.1
3,State,Assam,68674,58943,-14.2,2.2
4,State,Bihar,186140,180446,-3.1,6.8
5,State,Chhattisgarh,56000,58502,4.5,2.2
6,State,Goa,2588,3225,24.6,0.1
7,State,Gujarat,156597,159810,2.1,6
8,State,Haryana,58940,66784,13.3,2.5
9,State,Himachal Pradesh,18628,19993,7.3,0.8
10,State,Jammu & Kashmir,27616,30778,11.4,1.2
11,State,Jharkhand,46914,45674,-2.6,1.7
12,State,Karnataka,138588,142252,2.6,5.4
13,State,Kerala,145609,142301,-2.3,5.4
14,State,Madhya Pradesh,314961,310782,-1.3,11.7
15,State,Maharashtra,287114,290546,1.2,10.9
16,State,Manipur,1390,934,-32.8,0
17,State,Meghalaya,1594,1699,6.6,0.1
18,State,Mizoram,2716,2215,-18.4,0.1
19,State,Nagaland,1226,906,-26.1,0
20,State,Orissa,78300,85592,9.3,3.2
21,State,Punjab,39537,45391,14.8,1.7
22,State,Rajasthan,178811,185350,3.7,7
23,State,Sikkim,455,737,62,0
24,State,Tamil Nadu,194845,177582,-8.9,6.7
25,State,Tripura,4252,5114,20.3,0.2
26,State,Uttar Pradesh,211275,217758,3.1,8.2
27,State,Uttarakhand,13424,13471,0.4,0.5
28,State,West Bengal,102161,110346,8,4.2
State,State,Total (States),2557120,2587915,1.2,97.5
29,Union Territory,A & N Islands,848,797,-6,0
30,Union Territory,Chandigarh,2989,3381,13.1,0.1
31,Union Territory,D & N Haveli,714,596,-16.5,0
32,Union Territory,Daman & Diu,290,372,28.3,0
33,Union Territory,Delhi,53318,54198,1.7,2
34,Union Territory,Lakshadweep,45,237,426.7,0
35,Union Territory,Puducherry,6223,6187,-0.6,0.2
Union Territory,Union Territory,Total (UTs),64427,65768,2.1,2.5
Total (All-India),Total (All-India),Total (All-India),2621547,2653683,1.2,100
