Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),No. of Cases - Compounded or Withdrawn (Col. 4),No. of Cases - Convicted(Col. 5),No. of Cases - Acquitted or Discharged (Col. 6),No. of Cases - Total (Col. 7) = Col. {(5) + (6)),No. of Cases - Pending Trial at the end of the year(Col. 8),Conviction Rate (Col. 9) = Col. (5/7 X 100)
1,"Murder (Sec. 302,303 IPC)",0,0,9.8,10.1,19.9,80,49.2
2,Rape (Sec.376 IPC,0,0.1,6.7,14.9,21.6,78.3,30.8
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",0,0.1,7.2,12.8,20,79.9,36.2
4,Dacoity (Sec.395-398 IPC),0,0,1.9,21.2,23.1,76.9,8.3
5,"Robbery (392-394, 397,398 IPC)",0,0,5.3,17.8,23.1,76.9,22.9
6,"Arson (Sec.435, 436, 438 IPC)",0,0.1,5.4,15.4,20.9,79,26
7,"Hurt (Sec.323-333, 335-338 IPC)",0,1.6,6.1,13.9,20.1,78.3,30.6
8,"PCR Act, 1955 for SCs",0,0.1,2.9,15.8,18.7,81.2,15.5
9,"SC/ST Prev. of Atrocities Act, 1989 for Ss",0,0.6,3.8,12.2,16,83.4,23.6
10,Other Crime,0,1.3,6.2,15.6,21.9,76.9,28.6
Total,Total,0,0.9,5.3,13.9,19.2,79.9,27.6
