Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Trial (Col. 4) - Compounded or Withdrawn,Percentage of Cases to Total Cases for Trial in which Trials were Completed (Col. 5) - Convicted,Percentage of Cases to Total Cases for Trial in which Trials were Completed (Col. 6) - Acquitted or Discharged,Percentage of Cases to Total Cases for Trial in which Trials were Completed (Col. 7) - Total = Col. {(5) + (6)},Percentage of Cases to Total Cases for Trial (Col. 8) - Pending Trial at the end of the year,Conviction Rate (Col. 9) = Col. {(5)/(7) × 100}
1,Murder (Sec.302 & 303 IPC),0,0.1,5.7,10.1,15.8,84.1,36.3
2,Attempt to Commit Murder (Sec. 307 IPC),0,0.3,5.5,11.7,17.2,82.5,31.9
3,"C.H. not amounting Murder (Sec.304 , 308 IPC)",0,0.3,6.1,11.8,18,81.8,34.2
4,Rape (Sec. 376 IPC) - Total,0,0.3,5.1,13.7,18.8,81,27.2
4,Rape (Sec. 376 IPC) - Custodial Rape,0,0,0,0,0,100,0
4,Rape (Sec. 376 IPC) - Other Rape,0,0.3,5.1,13.7,18.8,81,27.2
5,"Kidnapping & abduction (Sec.363-369,371-373 IPC) - Total",0,0.6,3.9,10.7,14.6,84.8,26.7
5,"Kidnapping & abduction (Sec.363-369,371-373 IPC) - I) of Women & Girls",0,0.6,4,10.4,14.4,85,27.6
5,"Kidnapping & abduction (Sec.363-369,371-373 IPC) - Ii) of Others",0,0.4,3.8,11.4,15.2,84.4,24.8
6,Dacoity (Sec.395-398 IPC),0,0.1,2.9,10.2,13,86.8,21.9
7,Preparation & assembly for Dacoity (Sec.399 to 402 IPC),0,0,4,13.2,17.2,82.8,23.1
8,"Robbery (Sec.392-394, 397,398 IPC)",0,0.1,3.4,7.7,11.1,88.8,30.7
9,"Burglary (Sec.449-452,454,455,457-460 IPC)",0,0.2,4.3,7.6,11.9,87.8,36.3
10,Theft (Sec.379 – 382 IPC) - Total,0,0.3,4.9,7.1,12,87.7,40.7
10,Theft (Sec.379 – 382 IPC) - I) Auto Theft,0,0.1,5.8,7.2,13,86.8,44.5
10,Theft (Sec.379 – 382 IPC) - II) Other Theft,0,0.4,4.7,7,11.7,87.9,39.8
11,"Riots (Sec.143-145, 147-151, 153, 153a,153b,157,158,160 IPC)",0.1,1.3,2.3,8.5,10.8,87.9,21.2
12,Criminal breach of Trust (Sec.406-409 IPC),0,0.6,2.3,6.2,8.4,91,26.9
13,"Cheating (Sec.419,420 IPC)",0,1,2.5,6.9,9.4,89.6,26.6
14,"Counterfeiting (Sec.231-254, 489A-489D IPC)",0,0.3,5.4,9.3,14.6,85,36.6
15,"Arson (Sec.435,436,438 IPC)",0,0.5,2.9,12.6,15.4,84,18.7
16,"Hurt (Sec.323-333,335-338 IPC)",0.1,4.4,4.5,9.4,13.9,81.7,32.1
17,Dowry Deaths (Sec.304B IPC),0,0.3,6.2,12.1,18.3,81.4,33.7
18,Molestation (Sec. 354 IPC),0.1,3.7,4,9,13,83.2,30.7
19,Sexual Harassment (Sec.509 IPC),0,3.1,11.4,10.6,21.9,75,51.8
20,Cruelty by Husband and Relatives (Sec. 498A IPC),0,2.3,2.8,10,12.8,84.8,21.9
21,Importation of Girls (Sec.366B IPC),0,0,4.1,8.2,12.3,87.7,33.3
22,Causing Death by Negligence (Sec. 304A IPC),0,0.8,5.8,9.5,15.3,84,37.8
23,Other IPC Crimes,0.1,2.4,8.9,7.4,16.4,81.3,54.5
Total Cognizable Crimes,Total Cognizable Crimes,0.1,2.1,6.2,8.3,14.5,83.4,42.9
