Sr. No.,Category,States/ UTs,Persons in Custody or on Bail during the Stage of Investigation at the Beginning of the Year,Persons Arrested during the Year,Persons Released or Freed by Police or Magistrate before Trial for Want of Evidence or any Other Reason,Persons in Custody or on Bail during the Stage of Investigation at the end of the Year,Persons in whose Cases Charge Sheets were Submitted during the Year,Persons under Trial at the Beginning of the Year,Total Number of Persons under Trial during the Year,Persons against whom Cases were Compounded or Withdrawn,Persons in Custody or on Bail during the Stage of Trial at the end of the Year,Persons in whose Cases Trials were Completed during the Year,Persons Convicted,Persons Acquitted
1,State,Andhra Pradesh,0,1,0,1,0,1,1,0,1,0,0,0
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,0,0,0,0,0,0,0
4,State,Bihar,0,0,0,0,0,0,0,0,0,0,0,0
5,State,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0
6,State,Goa,0,0,0,0,0,0,0,0,0,0,0,0
7,State,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0
8,State,Haryana,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,0,2,2,0,0,2,0,2
12,State,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0
13,State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0
14,State,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
15,State,Maharashtra,0,2,0,0,2,0,2,0,2,0,0,0
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0
21,State,Punjab,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Tamil Nadu,0,0,0,0,0,0,0,0,0,0,0,0
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
27,State,Uttarakhand,0,0,0,0,0,0,0,0,0,0,0,0
28,State,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0
State,State,Total (States),0,3,0,1,2,3,5,0,3,2,0,2
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,0,0,0,0,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),0,0,0,0,0,0,0,0,0,0,0,0
Total (All-India),Total (All-India),Total (All-India),0,3,0,1,2,3,5,0,3,2,0,2
