Sr. No.,Category,States/Uts,Age Groups - 18-25 Years,Age Groups - 25-35 Years,Age Groups - 35-45 Years,Age Groups - 45-55 Years,Age Groups - Above 55 Years,Age Groups - Total
1,State,Andhra Pradesh,2,12,18,15,2,49
2,State,Arunachal Pradesh,0,0,0,0,0,0
3,State,Assam,0,4,11,4,0,19
4,State,Bihar,0,2,4,8,0,14
5,State,Chhattisgarh,2,13,12,3,0,30
6,State,Goa,0,0,0,0,0,0
7,State,Gujarat,0,9,17,14,3,43
8,State,Haryana,4,6,21,23,0,54
9,State,Himachal Pradesh,0,0,1,0,0,1
10,State,Jammu & Kashmir,6,25,23,4,1,59
11,State,Jharkhand,16,2,4,3,0,25
12,State,Karnataka,1,3,3,2,0,9
13,State,Kerala,0,1,0,0,0,1
14,State,Madhya Pradesh,0,6,19,3,2,30
15,State,Maharashtra,4,17,52,22,4,99
16,State,Manipur,0,4,1,2,0,7
17,State,Meghalaya,0,0,0,0,0,0
18,State,Mizoram,1,0,0,0,0,1
19,State,Nagaland,0,0,0,0,0,0
20,State,Orissa,0,5,6,1,0,12
21,State,Punjab,1,22,45,31,0,99
22,State,Rajasthan,5,19,10,3,5,42
23,State,Sikkim,0,1,0,0,0,1
24,State,Tamil Nadu,4,9,15,15,2,45
25,State,Tripura,3,2,5,1,0,11
26,State,Uttar Pradesh,2,36,44,35,6,123
27,State,Uttarakhand,2,2,1,1,0,6
28,State,West Bengal,0,6,12,5,2,25
State,State,Total (States),53,206,324,195,27,805
29,Union Territory,A & N Islands,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,2,0,0,2
31,Union Territory,D & N Haveli,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0
33,Union Territory,Delhi,2,8,16,5,3,34
34,Union Territory,Lakshadweep,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),2,8,18,5,3,36
Total (All-India),Total (All-India),Total (All-India),55,214,342,200,30,841
