Sr. No.,Category,States/UTs,Total No. of Persons under Arrest Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Person Charge Sheeted,Number of - Persons under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All-India Total
1,State,Andhra Pradesh,1344,49,962,333,24.8,30.3
2,State,Arunachal Pradesh,26,5,16,5,19.2,0.5
3,State,Assam,407,55,125,227,55.8,20.6
4,State,Bihar,150,5,59,86,57.3,7.8
5,State,Chhattisgarh,910,0,877,33,3.6,3
6,State,Goa,1,0,1,0,0,0
7,State,Gujarat,395,1,371,23,5.8,2.1
8,State,Haryana,0,0,0,0,0,0
9,State,Himachal Pradesh,21,3,18,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0
11,State,Jharkhand,442,15,338,89,20.1,8.1
12,State,Karnataka,653,21,590,42,6.4,3.8
13,State,Kerala,143,1,62,80,55.9,7.3
14,State,Madhya Pradesh,2754,1,2751,2,0.1,0.2
15,State,Maharashtra,787,7,691,89,11.3,8.1
16,State,Manipur,4,0,0,4,100,0.4
17,State,Meghalaya,0,0,0,0,0,0
18,State,Mizoram,0,0,0,0,0,0
19,State,Nagaland,38,0,38,0,0,0
20,State,Orissa,390,9,349,32,8.2,2.9
21,State,Punjab,0,0,0,0,0,0
22,State,Rajasthan,963,0,946,17,1.8,1.5
23,State,Sikkim,6,0,0,6,100,0.5
24,State,Tamil Nadu,64,14,35,15,23.4,1.4
25,State,Tripura,16,5,6,5,31.3,0.5
26,State,Uttar Pradesh,21,0,21,0,0,0
27,State,Uttaranchal,0,0,0,0,0,0
28,State,West Bengal,29,0,18,11,37.9,1
State,State,Total (States),9564,191,8274,1099,11.5,99.9
29,Union Territory,A & N Islands,60,0,59,1,1.7,0.1
30,Union Territory,Chandigarh,0,0,0,0,0,0
31,Union Territory,D & N Haveli,6,0,6,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0
33,Union Territory,Delhi,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0,0,0,0,0,0
35,Union Territory,Pondicherry,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),66,0,65,1,1.5,0.1
Total (All-India),Total (All-India),Total (All-India),9630,191,8339,1100,11.4,100
