Sr. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,"Murder (Sec 302, 303 IPC)",59630,3439,63069,94.5,5.5
2,Attempt to Commit Murder (Sec 307 IPC),63515,2417,65932,96.3,3.7
3,"C.H. Not Amounting Murder (Sec 304, 308 IPC)",6497,182,6679,97.3,2.7
4,Rape (Sec 376 IPC) - Total,23203,589,23792,97.5,2.5
4,Rape (Sec 376 IPC) - Custodial Rape,3,0,3,100,0
4,Rape (Sec 376 IPC) - Other Rape,23200,589,23789,97.5,2.5
5,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Total",30493,1846,32339,94.3,5.7
5,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Of Women & Girls",19536,1431,20967,93.2,6.8
5,"Kidnapping & Abduction (Sec 363-369, 371-373 IPC) - Of Others",10957,415,11372,96.4,3.6
6,Dacoity (Sec 395 - 398 IPC),17544,157,17701,99.1,0.9
7,Preparation & Assembly for Dacoity (Sec 399-402 IPC),14382,24,14406,99.8,0.2
8,"Robbery (Sec 392-394, 397, 398 IPC)",28587,168,28755,99.4,0.6
9,"Burglary (Sec. 449-452, 454, 455, 457-460 IPC)",65923,1200,67123,98.2,1.8
10,Theft (Sec 379 - 382 IPC) - Total,193754,5474,199228,97.3,2.7
10,Theft (Sec 379 - 382 IPC) - Auto Theft,43856,138,43994,99.7,0.3
10,Theft (Sec 379 - 382 IPC) - ii) Other Theft,149898,5336,155234,96.6,3.4
11,"Riots (Sec 143-145, 147-151, 153, 153A., 153B, 157, 158, 160 IPC)",286417,16457,302874,94.6,5.4
12,Criminal Breach of Trust (Sec 406-409 IPC),14597,580,15177,96.2,3.8
13,"Cheating (Sec 419, 420 IPC)",51058,2867,53925,94.7,5.3
14,"Counterfeiting (Sec 231-254, 489A-489D)",2880,34,2914,98.8,1.2
15,"Arson (Sec 435, 436, 438 IPC)",12619,354,12973,97.3,2.7
16,"Hurt (Sec 323-333, 335-338 IPC)",429260,33107,462367,92.8,7.2
17,Dowry Deaths (Section 304B IPC),14830,4404,19234,77.1,22.9
18,Molestation (Section 354 IPC),44333,783,45116,98.3,1.7
19,Sexual Harassment (Sec 509 IPC),12203,217,12420,98.3,1.7
20,Cruelty by Husband and Relatives (Sec 498A IPC),105927,31253,137180,77.2,22.8
21,Importation of Girls (Sec 366B IPC),78,7,85,91.8,8.2
22,Causing Death by Negligence (Sec 304A IPC),67550,339,67889,99.5,0.5
23,Other IPC Crimes,953768,48737,1002505,95.1,4.9
Total Cognizable Crimes under IPC,Total Cognizable Crimes under IPC,2499048,154635,2653683,94.2,5.8
