Sr. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for investigation in which - investigation Refused (Col. 4),Percentage of Cases to Total Cases for investigation in which investigation Completed - Charge Found False / Mistake of Fact or Law Etc.(Col. 5),Percentage of Cases to Total Cases for investigation in which investigation Completed - Final Report True Submitted (Col. 6),Percentage of Cases to Total Cases for investigation in which investigation Completed - Charge Sheets Submitted(Col. 7),Percentage of Cases to Total Cases for investigation in which investigation Completed - Total (Col. 8) = Col. {(5) + (6) + (7)},No. of Cases Pending investigation at the end of the year (Col. 9),Chargesheeting Rate (Col. 10) = Col. (7 / 6 + 7 × 100)
1,"Murder (Sec. 302,303 IPC)",0,0.4,5.6,8.2,57.6,71.4,28.3,87.6
2,Rape (Sec.376 IPC,0,0.1,5.5,1.7,71,78.2,21.6,97.7
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",0,0,3.6,9.9,46.8,60.4,39.6,82.5
4,Dacoity (Sec.395-398 IPC),0,0,0,18.8,12.5,31.3,68.8,40
5,"Robbery (392-394, 397,398 IPC)",0,0,0,22.5,32.5,55,45,59.1
6,"Arson (Sec.435, 436, 438 IPC)",0,0,12.1,5.2,55.2,72.4,27.6,91.4
7,"Hurt (Sec.323-333, 335-338 IPC)",0,0,14.3,4,65.9,84.1,15.9,94.3
8,"PCR Act, 1955 for STs",0,1,71,0,12.6,83.6,15.5,100
9,"SC/ST Prev. of Atrocities Act, 1989 for SCs",0,0.2,14.6,1.8,48.7,65.1,34.8,96.4
10,Other Crime Against STs,0,0.8,20.9,1.6,59.4,81.8,17.4,97.4
Total,Total,0,0.4,17.1,2.5,57.1,76.7,22.9,95.9
