Sr. No.,Category,States/ UTs,No. of Complaints Received/ Alleged during the Year,Complaints Received/ Cases Registered - No. of Inquiry Instituted - Departmental,Complaints Received/ Cases Registered - No. of Inquiry Instituted - Magisterial,Complaints Received/ Cases Registered - No. of Inquiry Instituted - Judicial,Complaints Received/ Cases Registered - Complaints/ Cases Declared False/ Unsubstantiated,Complaints Received/ Cases Registered - No. of Cases Registered during the Year,Complaints Received /Cases Registered - No. of Cases - Reported for Regular Deptt. Action,Complaints Received/ Cases Registered - No. of Cases - Sent Up for Trials/ Charge- Sheeted,Police Personnel Involved/ Action Taken - No. of Police Personnel Sent Up for Trial during the Year,Police Personnel Involved/ Action Taken - No. of Police Personnel whose Cases Withdrawn or Otherwise Disposed of,Police Personnel Involved/ Action Taken - No. of Personnel in whose Cases Trial Completed,Police Personnel Involved/ Action Taken - No. of Police Personnel Convicted,Police Personnel Involved/ Action Taken - No. of Police Personnel Acquitted,Departmental Action/ Punishment - No. of Police Personnel - against whom Disciplinary Action Initiated,Departmental Action/ Punishment - No. of Police Personnel - whose Cases Withdrawn or Otherwise Disposed of,Departmental Action/ Punishment - No. of Police Personnel - in whose Cases Trial was Completed,Departmental Action/ Punishment - No. of Police Personnel - Dismissed/ Removed from Service,Departmental Action/ Punishment - No. of Police Personnel - Major Punishment Awarded,Departmental Action/ Punishment - No. of Police Personnel - Minor Punishment Awarded
1,State,Andhra Pradesh,5896,315,0,31,202,5461,269,5399,100,11,10,3,7,2857,892,60,34,271,1548
2,State,Arunachal Pradesh,28,24,0,0,0,8,2,0,0,0,0,0,0,6,1,3,0,0,3
3,State,Assam,19,19,0,1,0,11,3,3,6,1,1,0,1,1,0,0,0,0,18
4,State,Bihar,58,0,1,60,0,10,0,48,126,8,0,0,0,1073,141,631,10,551,131
5,State,Chhattisgarh,1444,355,1,0,1331,28,14,5,13,4,4,1,3,124,80,59,22,22,22
6,State,Goa,66,2,0,0,56,1,2,1,1,0,0,0,0,103,64,11,0,1,48
7,State,Gujarat,893,639,1,0,253,232,508,209,232,4,7,3,4,1256,133,681,51,221,619
8,State,Haryana,1233,615,0,0,1269,18,5,10,11,0,0,0,0,10,0,4,0,0,6
9,State,Himachal Pradesh,2702,4,0,0,354,2477,0,0,1805,0,0,0,0,47,9,13,0,9,12
10,State,Jammu & Kashmir,164,337,0,0,124,63,40,12,49,28,0,0,0,1223,398,329,205,781,590
11,State,Jharkhand,3,0,0,2,0,3,1,0,1,0,1,0,1,586,273,498,43,439,108
12,State,Karnataka,215,172,1,8,35,55,29,40,56,5,7,0,7,694,64,466,5,28,441
13,State,Kerala,1718,1356,0,1,794,99,30,43,51,0,7,0,7,1025,129,133,20,100,226
14,State,Madhya Pradesh,22224,4787,348,0,17197,819,51,13,18,0,6,2,4,308,27,117,43,103,198
15,State,Maharashtra,5159,968,10,71,3805,417,332,233,239,5,11,3,8,372,71,220,50,46,111
16,State,Manipur,2,2,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
17,State,Meghalaya,2,2,0,0,0,4,0,0,0,0,0,0,0,13,10,0,9,34,53
18,State,Mizoram,8,0,1,0,0,7,4,4,5,0,5,3,2,11,0,8,0,5,6
19,State,Nagaland,11,10,0,0,0,7,6,4,8,0,3,0,3,10,0,3,0,10,0
20,State,Orissa,2482,44,17,20,2,2481,9,1689,26,4,1,0,1,237,22,64,11,113,140
21,State,Punjab,4796,2893,6,1,2369,86,35,22,52,9,17,4,13,2077,116,224,94,484,2096
22,State,Rajasthan,3402,260,0,1,3141,135,41,61,66,0,3,1,2,4826,1587,2941,74,2568,299
23,State,Sikkim,36,36,0,0,0,0,36,0,0,0,0,0,0,36,0,18,3,0,15
24,State,Tamil Nadu,120,44,22,54,5,115,56,63,65,2,6,3,3,1983,54,1403,55,406,942
25,State,Tripura,58,46,2,14,1,17,33,9,12,12,2,1,1,86,28,11,12,28,502
26,State,Uttar Pradesh,3503,812,13,0,2678,825,778,47,96,5,0,0,0,1089,59,1030,71,155,804
27,State,Uttarakhand,967,959,0,8,756,8,203,3,3,0,0,0,0,203,4,149,10,10,129
28,State,West Bengal,28,19,0,9,0,27,11,7,10,3,2,0,2,28,2,2,1,16,2
State,State,Total (States),57237,14720,423,281,34372,13414,2499,7925,3051,101,93,24,69,20286,4164,9078,823,6401,9069
29,Union Territory,A & N Islands,14,0,0,14,0,14,0,9,10,0,0,0,0,9,0,3,2,2,7
30,Union Territory,Chandigarh,207,207,0,0,171,2,0,0,0,32,0,0,0,96,133,0,4,66,31
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,5360,579,0,0,113,113,0,0,0,0,0,0,0,1374,805,0,182,314,1303
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,3,3,0,0,1,3,3,1,1,0,1,0,1,45,5,0,9,0,13
Union Territory,Union Territory,Total (UTs),5585,790,0,14,285,132,4,11,11,32,1,0,1,1524,943,3,197,382,1354
Total (All-India),Total (All-India),Total (All-India),62822,15510,423,295,34657,13546,2503,7936,3062,133,94,24,70,21810,5107,9081,1020,6783,10423
