Sr. No.,Category,States/UTs,Total No. of Persons under Trial Including those from Previous Year,Total No. of Persons whose - Cases Compounded or Withdrawn,Total No. of Persons whose - Trial Completed,Total No. of Persons whose - Trial Remained Pending at the end of the year,No. of Persons Convicted,Pendency Percentage,Percentage of Pendency to All-India Total
1,State,Andhra Pradesh,2941,36,1056,1849,247,62.9,3.5
2,State,Arunachal Pradesh,36,0,0,36,0,100,0.1
3,State,Assam,221,0,74,147,35,66.5,0.3
4,State,Bihar,414,2,65,347,12,83.8,0.7
5,State,Chhattisgarh,3017,83,984,1950,251,64.6,3.7
6,State,Goa,191,0,27,164,3,85.9,0.3
7,State,Gujarat,4499,3,320,4176,82,92.8,7.8
8,State,Haryana,1036,0,324,712,61,68.7,1.3
9,State,Himachal Pradesh,413,69,83,261,17,63.2,0.5
10,State,Jammu & Kashmir,210,0,63,147,0,70,0.3
11,State,Jharkhand,238,5,54,179,15,75.2,0.3
12,State,Karnataka,508,1,96,411,7,80.9,0.8
13,State,Kerala,1220,6,230,984,41,80.7,1.8
14,State,Madhya Pradesh,13987,474,3129,10384,1499,74.2,19.5
15,State,Maharashtra,13511,49,839,12623,120,93.4,23.7
16,State,Manipur,2,0,0,2,0,100,0
17,State,Meghalaya,20,0,0,20,0,100,0
18,State,Mizoram,35,0,35,0,35,0,0
19,State,Nagaland,2,0,2,0,2,0,0
20,State,Orissa,590,0,76,514,14,87.1,1
21,State,Punjab,585,0,122,463,51,79.1,0.9
22,State,Rajasthan,1505,0,200,1305,98,86.7,2.4
23,State,Sikkim,33,0,0,33,0,100,0.1
24,State,Tamil Nadu,756,0,224,532,95,70.4,1
25,State,Tripura,53,14,9,30,1,56.6,0.1
26,State,Uttar Pradesh,16015,0,3039,12976,1801,81,24.3
27,State,Uttaranchal,357,0,36,321,10,89.9,0.6
28,State,West Bengal,581,25,158,398,21,68.5,0.7
State,State,Total (States),62976,767,11245,50964,4518,80.9,95.5
29,Union Territory,A & N Islands,45,0,0,45,0,100,0.1
30,Union Territory,Chandigarh,180,0,56,124,19,68.9,0.2
31,Union Territory,D & N Haveli,40,0,1,39,0,97.5,0.1
32,Union Territory,Daman & Diu,8,0,0,8,0,100,0
33,Union Territory,Delhi,2535,0,420,2115,131,83.4,4
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0
35,Union Territory,Pondicherry,57,2,7,48,1,84.2,0.1
Union Territory,Union Territory,Total (UTs),2865,2,484,2379,151,83,4.5
Total (All-India),Total (All-India),Total (All-India),65841,769,11729,53343,4669,81,100
