Sr. No.,Category,States/ UTs,Unidentified Bodies Recovered and Inquest Conducted
1,State,Andhra Pradesh,5417
2,State,Arunachal Pradesh,9
3,State,Assam,137
4,State,Bihar,1743
5,State,Chhattisgarh,154
6,State,Goa,204
7,State,Gujarat,1749
8,State,Haryana,828
9,State,Himachal Pradesh,103
10,State,Jammu & Kashmir,128
11,State,Jharkhand,108
12,State,Karnataka,2913
13,State,Kerala,462
14,State,Madhya Pradesh,1172
15,State,Maharashtra,5973
16,State,Manipur,16
17,State,Meghalaya,22
18,State,Mizoram,0
19,State,Nagaland,3
20,State,Orissa,120
21,State,Punjab,840
22,State,Rajasthan,1105
23,State,Sikkim,22
24,State,Tamil Nadu,2045
25,State,Tripura,0
26,State,Uttar Pradesh,3447
27,State,Uttaranchal,253
28,State,West Bengal,4931
State,State,Total (States),33904
29,Union Territory,A & N Islands,0
30,Union Territory,Chandigarh,22
31,Union Territory,D & N Haveli,4
32,Union Territory,Daman & Diu,18
33,Union Territory,Delhi,2092
34,Union Territory,Lakshadweep,0
35,Union Territory,Pondicherry,91
Union Territory,Union Territory,Total (UTs),2227
Total (All-India),Total (All-India),Total (All-India),36131
