Sr. No.,Category,States/UTs,Estimated MidYear Population(In Lakhs) #,"Murder(Sec. 302,303 IPC) - I","Murder(Sec. 302,303 IPC) - R","Murder(Sec. 302,303 IPC) - P",Rape(Sec. 376 IPC) - I,Rape(Sec. 376 IPC) - R,Rape(Sec. 376 IPC) - P,"Kidnapping & Abduction(Sec.363-369,371-373 IPC) - I","Kidnapping & Abduction(Sec.363-369,371-373 IPC) - R","Kidnapping & Abduction(Sec.363-369,371-373 IPC) - P",Dacoity(Sec. 395-398 IPC) - I,Dacoity(Sec. 395-398 IPC) - R,Dacoity(Sec. 395-398 IPC) - P,"Robbery(Sec. 392-394,397,398 IPC) - I","Robbery(Sec. 392-394,397,398 IPC) - R","Robbery(Sec. 392-394,397,398 IPC) - P","Arson(Sec. 435,436,438 IPC) - I","Arson(Sec. 435,436,438 IPC) - R","Arson(Sec. 435,436,438 IPC) - P","Hurt(Sec. 323-333,335-338 IPC) - I","Hurt(Sec. 323-333,335-338 IPC) - R","Hurt(Sec. 323-333,335-338 IPC) - P",Prot.of Civil Rights Act (1955) - I,Prot.of Civil Rights Act (1955) - R,Prot.of Civil Rights Act (1955) - P,SC/ST Prev.of Attrocities Act (1989) - I,SC/ST Prev.of Attrocities Act (1989) - R,SC/ST Prev.of Attrocities Act (1989) - P,Other offences - I,Other offences - R,Other offences - P,Total - I,Total - R,Total - P
1,State,Andhra Pradesh,807.2,8,0,4.1,60,0.1,8.6,4,0,4.5,0,0,0,0,0,0,2,0,4.3,118,0.1,14.1,12,0,24.5,298,0.4,24.2,291,0.4,11.2,793,1,13.7
2,State,Arunachal Pradesh,11.7,0,0,0,2,0.2,0.3,4,0.3,4.5,0,0,0,0,0,0,0,0,0,11,0.9,1.3,0,0,0,0,0,0,10,0.9,0.4,27,2.3,0.5
3,State,Assam,291.6,26,0.1,13.3,24,0.1,3.4,24,0.1,27.3,5,0,41.7,14,0,48.3,9,0,19.6,71,0.2,8.5,0,0,0,0,0,0,71,0.2,2.7,244,0.8,4.2
4,State,Bihar,913.3,1,0,0.5,3,0,0.4,0,0,0,0,0,0,0,0,0,2,0,4.3,12,0,1.4,0,0,0,32,0,2.6,6,0,0.2,56,0.1,1
5,State,Chhattisgarh,229.9,27,0.1,13.8,97,0.4,13.9,3,0,3.4,0,0,0,0,0,0,1,0,2.2,57,0.2,6.8,0,0,0,161,0.7,13.1,237,1,9.1,583,2.5,10.1
6,State,Goa,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,State,Gujarat,550.8,6,0,3.1,23,0,3.3,8,0,9.1,1,0,8.3,0,0,0,2,0,4.3,25,0,3,0,0,0,53,0.1,4.3,46,0.1,1.8,164,0.3,2.8
8,State,Haryana,231.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,State,Himachal Pradesh,64.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4.1,7,0.1,0.6,8,0.1,0.3,17,0.3,0.3
10,State,Jammu & Kashmir,117.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
