Sr. No.,Crime Head,2002,2003,2004,2005,2006
1,"Murder (Sec.302, 303 IPC)",2,1.9,1.8,1.8,1.7
2,Attempt to Commit Murder (Sec. 307 IPC),1.7,1.5,1.5,1.5,1.4
3,"C.H. not Amounting Murder (Sec. 304, 308 IPC)",0.2,0.2,0.2,0.2,0.2
4,Rape (Sec. 376 IPC) - Total,0.9,0.9,1,1,1
5,Rape (Sec. 376 IPC) - Custodial Rape,0,0,0,0,0
6,Rape (Sec. 376 IPC) - Other Rape,0.9,0.9,1,1,1
7,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - Total",1.2,1.2,1.3,1.3,1.3
7,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - I) of Women & Girls",0.8,0.8,0.9,0.9,0.9
7,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) - II) of Others",0.4,0.4,0.4,0.4,0.4
8,Dacoity (Sec. 395-398 IPC),0.3,0.3,0.3,0.3,0.3
9,Preparation & Assembly for DAcoity (Sec. 399-402 IPC),0.1,0.1,0.1,0.2,0.2
10,"Robbery (Sec. 392-394,397,398 IPC)",1.1,1,1,1,1
11,"Burglary (Sec. 449-452,454,455,457-460 IPC)",5.4,5.4,5,4.9,4.9
12,Theft (Sec. 379-382 IPC) - Total,13.9,14.3,14.9,15,14.6
12,Theft (Sec. 379-382 IPC) - I) Auto Theft,3.7,4,4.4,4.7,4.8
12,Theft (Sec. 379-382 IPC) - Ii) Other Theft,10.2,10.3,10.5,10.3,9.8
13,"Riots (Sec. 143-145,147-151,153,153A,153b,157,158,160 IPC)",3.9,3.3,3.3,3.1,3
14,Criminal Breach of Trust (Sec. 406-409 IPC),0.8,0.8,0.8,0.7,0.7
15,"Cheating (Sec. 419,420 IPC)",2.6,2.8,2.8,2.9,3.1
16,"Counterfeiting (Sec. 231-254,489A-489D IPC)",0.1,0.1,0.1,0.1,0.1
17,"Arson (Sec. 435,436,438 IPC)",0.7,0.5,0.5,0.5,0.5
18,"Hurt (Sec. 323-333,335-338 IPC)",14.9,15.2,15.1,14.9,14.1
19,Dowry Deaths (Sec. 304B IPC),0.4,0.4,0.4,0.4,0.4
20,Molestation (Sec. 354 IPC),1.9,1.9,1.9,1.9,1.9
21,Sexual Harassment (Sec. 509 IPC),0.6,0.7,0.5,0.5,0.5
22,Cruelty by Husband and Relatives (Sec. 498A IPC),2.8,3,3.2,3.2,3.4
23,Importation of Girls (Sec. 366B IPC),0,0,0,0,0
24,Causing Death by Negligence (304A IPC),3.6,3.5,3.8,3.9,4.2
25,Other IPC Crimes,41,40.8,40.4,40.7,41.5
Total Cognizable Crimes Under IPC,Total Cognizable Crimes Under IPC,100,100,100,100,100
