Sr. No.,Crime Head,Number of Cases Reported During - 2005,Number of Cases Reported During - 2006,Percentage Change in 2006 Over 2005
1,Arms Act,192,256,33.3
2,Narcotic Drugs & Psychotropic Substances Act,76,57,-25
3,Gambling Act,1061,891,-16
4,Excise Act,472,520,10.2
5,Prohibition Act,830,600,-27.7
6,Explosive & Explosive Substances Act,9,4,-55.6
7,Immoral Traffic (P) Act,50,73,46
8,Indian Railways Act,0,8,NA
9,Registration of Foreigners Act,33,15,-54.5
10,Protection of Civil Rights Act - Total,1,0,NA
10,Protection of Civil Rights Act - (i) PCR Act for SCs,1,0,NA
10,Protection of Civil Rights Act - (ii) PCR Act for STs,0,0,NA
11,Indian Passport Act,9,6,-33.3
12,Essential Commodities Act,19,19,0
13,Terrorist & Disruptive Activities Act,1,0,NA
14,Antiquity & Art Treasure Act,0,0,NA
15,Dowry Prohibition Act,5,0,NA
16,Child Marriage Restraint Act,5,1,-80
17,Indecent Representation of Women (P) Act,1,1,0
18,Copyrights Act,48,50,4.2
19,Sati Prevention Act,0,0,NA
20,SC/ST (prevention of Atrocities) Act - Total,37,41,10.8
20,SC/ST (prevention of Atrocities) Act - (i) Prevention of Attrocities Act for SCs,31,29,-6.5
20,SC/ST (prevention of Atrocities) Act - (ii) Prevention of Attrocities Act for STs,6,12,100
21,Forest Act,2,3,50
22,Other SLL Crimes,3811,2184,-42.7
Total Cognizable Crimes Under SLL,Total Cognizable Crimes Under SLL,6662,4729,-29
