Sr. No.,Category,States/ UTs/Cities,"Murder (Sec. 302, 303 IPC) - Incidence","Murder (Sec. 302, 303 IPC) - Rate",Attempt to Commit Murder (Sec. 307 IPC) - Incidence,Attempt to Commit Murder (Sec. 307 IPC) - Rate,"C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Incidence","C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Rate",Rape (Sec. 376 IPC) Custodial - Incidence,Rape (Sec. 376 IPC) Custodial - Rate,Rape (Sec. 376 IPC) Others - Incidence,Rape (Sec. 376 IPC) Others - Rate,Rape (Sec. 376 IPC) Total - Incidence,Rape (Sec. 376 IPC) Total - Rate,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) Total - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) Total - Rate",Dacoity (Sec. 395-398 IPC) - Incidence,Dacoity (Sec. 395-398 IPC) - Rate,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Incidence,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Rate,"Robbery (Sec. 392-394,397,398 IPC) - Incidence","Robbery (Sec. 392-394,397,398 IPC) - Rate","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Incidence","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Rate",Theft (Sec.379-382 IPC) Auto Theft - Incidence,Theft (Sec.379-382 IPC) Auto Theft - Rate,Theft (Sec.379-382 IPC) Other Theft - Incidence,Theft (Sec.379-382 IPC) Other Theft - Rate,Theft (Sec.379-382 IPC) Total - Incidence,Theft (Sec.379-382 IPC) Total - Rate,"Riots (Sec. 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC) - Incidence","Riots (Sec. 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC) - Rate",Criminal Breach of Trust (Sec. 406-409 IPC) - Incidence,Criminal Breach of Trust (Sec. 406-409 IPC) - Rate,"Cheating (Sec. 419,420 IPC) - Incidence","Cheating (Sec. 419,420 IPC) - Rate","Counterfeiting (Sec. 231-254,489A-489D IPC - Incidence","Counterfeiting (Sec. 231-254,489A-489D IPC) - Rate","Arson (Sec. 435,436,438 IPC) - Incidence","Arson (Sec. 435,436,438 IPC) - Rate","Hurt (Sec.323-333,335-338 IPC) - Incidence","Hurt (Sec.323-333,335-338 IPC) - Rate",Dowry Deaths (Sec.304B IPC) - Incidence,Dowry Deaths (Sec.304B IPC) - Rate,Molestation (Sec.354 IPC) - Incidence,Molestation (Sec.354 IPC) - Rate,Sexual Harassment (Sec.509 IPC) - Incidence,Sexual Harassment (Sec.509 IPC) - Rate,Cruelty by Husband and Relatives (Sec. 498A IPC) - Incidence,Cruelty by Husband and Relatives (Sec. 498A IPC) - Rate,Importation of Girls (Sec. 366B IPC) - Incidence,Importation of Girls (Sec. 366B IPC) - Rate,Causing Death by Negligence (Sec. 304A IPC) - Incidence,Causing Death by Negligence (Sec. 304A IPC) - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
1,State,Andhra Pradesh,2766,3.4,1860,2.3,123,0.2,1,0,1048,1.3,1049,1.3,1329,1.6,701,0.9,2030,2.5,178,0.2,3,0,679,0.8,8304,10.3,5313,6.6,18197,22.5,23510,29.1,2916,3.6,1007,1.2,8363,10.4,324,0.4,1012,1.3,47946,59.4,519,0.6,4534,5.6,2411,3,9164,11.4,0,0,11489,14.2,43722,54.2,173909,215.4
2,State,Arunachal Pradesh,60,5.1,33,2.8,3,0.3,0,0,37,3.2,37,3.2,51,4.3,24,2,75,6.4,28,2.4,0,0,74,6.3,257,21.9,74,6.3,377,32.1,451,38.4,6,0.5,61,5.2,38,3.2,9,0.8,20,1.7,415,35.3,1,0.1,63,5.4,2,0.2,14,1.2,0,0,82,7,565,48.1,2294,195.4
3,State,Assam,1207,4.1,414,1.4,32,0.1,0,0,1244,4.3,1244,4.3,1544,5.3,281,1,1825,6.3,319,1.1,12,0,544,1.9,2911,10,1362,4.7,6458,22.1,7820,26.8,2684,9.2,461,1.6,905,3.1,98,0.3,488,1.7,5290,18.1,105,0.4,1290,4.4,10,0,2548,8.7,0,0,3022,10.4,10444,35.8,43673,149.8
4,State,Bihar,3249,3.6,3303,3.6,326,0.4,0,0,1232,1.3,1232,1.3,1084,1.2,1535,1.7,2619,2.9,1001,1.1,140,0.2,2169,2.4,3531,3.9,2023,2.2,9729,10.7,11752,12.9,8259,9,1054,1.2,2171,2.4,97,0.1,785,0.9,12674,13.9,1188,1.3,530,0.6,53,0.1,1689,1.8,42,0,2860,3.1,39941,43.7,100665,110.2
5,State,Chhattisgarh,1098,4.8,825,3.6,15,0.1,0,0,995,4.3,995,4.3,178,0.8,61,0.3,239,1,160,0.7,24,0.1,439,1.9,3507,15.3,1623,7.1,3639,15.8,5262,22.9,905,3.9,137,0.6,507,2.2,33,0.1,262,1.1,6722,29.2,103,0.4,1598,7,143,0.6,717,3.1,1,0,2239,9.7,19246,83.7,45177,196.5
6,State,Goa,39,2.5,17,1.1,1,0.1,0,0,21,1.4,21,1.4,10,0.6,6,0.4,16,1,7,0.5,0,0,17,1.1,252,16.2,223,14.4,271,17.5,494,31.9,63,4.1,35,2.3,55,3.5,9,0.6,38,2.5,170,11,0,0,18,1.2,7,0.5,14,0.9,0,0,233,15,698,45,2204,142.1
7,State,Gujarat,1165,2.1,471,0.9,24,0,0,0,354,0.6,354,0.6,945,1.7,183,0.3,1128,2,290,0.5,12,0,970,1.8,5530,10,7188,13.1,11287,20.5,18475,33.5,1534,2.8,1246,2.3,1529,2.8,196,0.4,321,0.6,10685,19.4,50,0.1,736,1.3,138,0.3,4977,9,0,0,4339,7.9,66802,121.3,120972,219.6
8,State,Haryana,873,3.8,585,2.5,59,0.3,0,0,608,2.6,608,2.6,431,1.9,204,0.9,635,2.7,104,0.4,224,1,410,1.8,4001,17.3,6300,27.2,4218,18.2,10518,45.4,1142,4.9,750,3.2,1424,6.1,35,0.2,156,0.7,5135,22.2,255,1.1,486,2.1,491,2.1,2254,9.7,0,0,1350,5.8,19014,82.1,50509,218.1
9,State,Himachal Pradesh,111,1.7,78,1.2,20,0.3,0,0,113,1.8,113,1.8,109,1.7,21,0.3,130,2,7,0.1,0,0,29,0.4,754,11.7,214,3.3,598,9.3,812,12.6,566,8.8,137,2.1,129,2,4,0.1,115,1.8,1261,19.6,3,0,275,4.3,31,0.5,259,4,0,0,499,7.7,7760,120.4,13093,203.1
10,State,Jammu & Kashmir,487,4.2,854,7.3,40,0.3,0,0,250,2.1,250,2.1,723,6.2,66,0.6,789,6.7,10,0.1,0,0,112,1,1351,11.5,554,4.7,1383,11.8,1937,16.5,1197,10.2,123,1,463,3.9,35,0.3,203,1.7,376,3.2,10,0.1,960,8.2,347,3,135,1.2,0,0,222,1.9,10886,92.8,20787,177.3
