Sr. No.,Crime Head,2005,2006,Percentage Variation in 2006 over 2005,Percentage Share of Arrestees under each Crime during 2006
1,Arms Act,77657,80804,4.1,2.3
2,Narcotic Drugs & Psychotropic Substances Act,33895,37098,9.4,1
3,Gambling Act,388886,347905,-10.5,9.8
4,Excise Act,165109,156954,-4.9,4.4
5,Prohibition Act,340437,329408,-3.2,9.3
6,Explosive & Explosive Substances Act,5108,5172,1.3,0.1
7,Immoral Traffic (P) Act,12665,11783,-7,0.3
8,Indian Railways Act,343,198,-42.3,0
9,Registration of Foreigners Act,2798,3602,28.7,0.1
10,Protection of Civil Rights Act - Total,635,768,20.9,0
10,Protection of Civil Rights Act - i) PCR Act for SCs,584,744,27.4,0
10,Protection of Civil Rights Act - ii) PCR Act for STs,51,24,-52.9,0
11,Indian Passport Act,1820,2174,19.5,0.1
12,Essential Commodities Act,10046,11809,17.5,0.3
13,Terrorist & Disruptive Activities Act,178,0,-100,0
14,Antiquity & Art Treasure Act,39,48,23.1,0
15,Dowry Prohibition Act,7197,7581,5.3,0.2
16,Child Marriage Restraint Act,411,305,-25.8,0
17,Indecent Representation of Women (P) Act,2976,1665,-44.1,0
18,Copyrights Act,8760,8942,2.1,0.3
19,Sati Prevention Act,18,0,-100,0
20,SC/ ST (Prevention of Atrocities) Act - Total,17074,17148,0.4,0.5
20,SC/ ST (Prevention of Atrocities) Act - i) Prevention of Atrocities Act for SCs,15184,15278,0.6,0.4
20,SC/ ST (Prevention of Atrocities) Act - ii) Prevention of Atrocities Act for STs,1890,1870,-1.1,0.1
21,Forest Act,7646,6934,-9.3,0.2
22,Other SLL Crimes,2404201,2523924,5,71
Total Cognizable Crimes under SLL,Total Cognizable Crimes under SLL,3487899,3554222,1.9,100
